CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;GRUPO_FAMILIA_PRODUCTO_FK;GRUPO_FAMILIA_PRODUCTO_DESC;GRUPO_FAMILIA_GENERICA_FK;GRUPO_FAMILIA_GENERICA_DESC
6566275;acemuk;;Vigente;Insensible;Manual;;;;;;;7768919;acemuk;4567041;No
5678082;acepran;;Vigente;Sensible;Manual;;;;;;;5674013;acepran;4567041;No
7456370;acepran FT;;Vigente;Insensible;Manual;;;;;;;5674013;acepran;4567041;No
5678084;acerdil;;Vigente;Sensible;Manual;;;;;;;5674014;acerdil;4567041;No
5678087;acerdil D;;Vigente;Sensible;Manual;;;;;;;5674014;acerdil;4567041;No
7543527;acetato de sodio;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6636266;acetazolamida;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7388848;acevit;;Vigente;Insensible;Manual;;;;;;;7768920;acevit;4567041;No
5893763;aciclovir;;Vigente;Sensible;Manual;;;;;;;7297625;aciclovir;4567040;Si
6627429;ácido acetilsalicílico;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
6627542;ácido ascórbico;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
7680439;ácido bórico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6627578;ácido dehidrocólico;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
6633316;ácido fólico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6478585;ácido folínico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6478211;ácido mefenámico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7344183;ácido tranexámico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6478439;ácido valproico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7570505;ácido zoledrónico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7356674;acifin;;Vigente;Insensible;Manual;;;;;;;7768922;acifin;4567041;No
7570154;aclasta;;Vigente;Insensible;Manual;;;;;;;7768924;aclasta;4567041;No
5678089;acneral;;Vigente;Sensible;Manual;;;;;;;5674015;acneral;4567041;No
5678093;acnotin;;Vigente;Sensible;Manual;;;;;;;5674017;acnotin;4567041;No
6557059;acotol;;Vigente;Insensible;Manual;;;;;;;7768930;acotol;4567041;No
7680314;act - HIB;;Vigente;Insensible;Manual;;;;;;;7768931;act - HIB;4567041;No
7674303;ACTacel;;Vigente;Insensible;Manual;;;;;;;7768857;ACTacel;4567041;No
5678138;actan;;Vigente;Sensible;Manual;;;;;;;5674018;actan;4567041;No
7152913;actan CD;;Vigente;Insensible;Manual;;;;;;;5674018;actan;4567041;No
5678141;actebral;;Vigente;Sensible;Manual;;;;;;;5674019;actebral;4567041;No
5678149;actemra;;Vigente;Sensible;Manual;;;;;;;5674023;actemra;4567041;No
6635422;actigeron;;Vigente;Sensible;Manual;;;;;;;7768938;actigeron;4567041;No
6432621;actilyse;;Vigente;Insensible;Manual;;;;;;;7768949;actilyse;4567041;No
5678151;actipram;;Vigente;Sensible;Manual;;;;;;;5674024;actipram;4567041;No
6627669;actiser - T;;Vigente;Sensible;Manual;;;;;;;7739465;actiser - T;4567041;No
7739466;actiser - T pump;;Vigente;Insensible;Manual;;;;;;;7739465;actiser - T;4567041;No
7534476;activelle;;Vigente;Insensible;Manual;;;;;;;7768950;activelle;4567041;No
6628499;actonel;;Vigente;Sensible;Manual;;;;;;;7768952;actonel;4567041;No
6635451;actos;;Vigente;Sensible;Manual;;;;;;;7517312;actos;4567041;No
7517314;actos met;;Vigente;Insensible;Manual;;;;;;;7517312;actos;4567041;No
7015091;actrapid;;Vigente;Insensible;Manual;;;;;;;7768963;actrapid;4567041;No
7739484;actrapid penfill;;Vigente;Insensible;Manual;;;;;;;7768963;actrapid;4567041;No
5678154;actron;;Vigente;Sensible;Manual;;;;;;;5674025;actron;4567041;No
5678164;actron pediátrico;;Vigente;Sensible;Manual;;;;;;;5674025;actron;4567041;No
5678171;acular;;Vigente;Sensible;Manual;;;;;;;5674031;acular;4567041;No
5678174;acular LS;;Vigente;Sensible;Manual;;;;;;;5674031;acular;4567041;No
7228973;acuode;;Vigente;Insensible;Manual;;;;;;;7228970;acuode;4567041;No
7328510;acus 1000;;Vigente;Insensible;Manual;;;;;;;7328506;acus;4567041;No
7328507;acus 500;;Vigente;Insensible;Manual;;;;;;;7328506;acus;4567041;No
5678177;adacai 10 / 10;;Vigente;Sensible;Manual;;;;;;;5674032;adacai;4567041;No
7318156;adacai 10 / 20;;Vigente;Insensible;Manual;;;;;;;5674032;adacai;4567041;No
7674297;adacel;;Vigente;Insensible;Manual;;;;;;;7768972;adacel;4567041;No
6628742;adalat;;Vigente;Sensible;Manual;;;;;;;5674033;adalat;4567041;No
5678179;adalat oros;;Vigente;Sensible;Manual;;;;;;;5674033;adalat;4567041;No
5678180;adalat retard;;Vigente;Sensible;Manual;;;;;;;5674033;adalat;4567041;No
7566710;adapac;;Vigente;Insensible;Manual;;;;;;;7768974;adapac;4567041;No
5678186;adax;;Vigente;Sensible;Manual;;;;;;;5674040;adax;4567041;No
6631131;adax retard;;Vigente;Sensible;Manual;;;;;;;5674040;adax;4567041;No
6593218;adempas;;Vigente;Insensible;Manual;;;;;;;7768980;adempas;4567041;No
7297926;adesna;;Vigente;Insensible;Manual;;;;;;;7297922;adesna;4567041;No
6916644;adfen forte;;Vigente;Insensible;Manual;;;;;;;7713181;adfen;4567041;No
5678187;adiamil;;Vigente;Sensible;Manual;;;;;;;5674046;adiamil;4567041;No
6905350;adine;;Vigente;Insensible;Manual;;;;;;;7768983;adine;4567041;No
7395356;adolex;;Vigente;Insensible;Manual;;;;;;;7413910;adolex;4567041;No
7413911;adolex plus;;Vigente;Insensible;Manual;;;;;;;7413910;adolex;4567041;No
7241971;adoplan;;Vigente;Insensible;Manual;;;;;;;7768984;adoplan;4567041;No
5678192;adormix;;Vigente;Sensible;Manual;;;;;;;5674047;adormix;4567041;No
5678193;adreject;;Vigente;Sensible;Manual;;;;;;;5674048;adreject;4567041;No
5678194;adreject JR;;Vigente;Sensible;Manual;;;;;;;5674048;adreject;4567041;No
6358306;adriblastina;;Vigente;Insensible;Manual;;;;;;;7270802;adriblastina;4567041;No
5678200;adroxef;;Vigente;Sensible;Manual;;;;;;;5674061;adroxef;4567041;No
5678201;aerius;;Vigente;Sensible;Manual;;;;;;;5674062;aerius;4567041;No
5678202;aerius D;;Vigente;Sensible;Manual;;;;;;;5674062;aerius;4567041;No
6905115;aero - gastrol;;Vigente;Insensible;Manual;;;;;;;7768985;aero - gastrol;4567041;No
7332704;aero - itan;;Vigente;Insensible;Manual;;;;;;;7332702;aero - itan;4567041;No
7309721;aerodan;;Vigente;Insensible;Manual;;;;;;;7309718;aerodan;4567041;No
5678204;aerolin;;Vigente;Sensible;Manual;;;;;;;5674063;aerolin;4567041;No
6563656;aerolin LF;;Vigente;Insensible;Manual;;;;;;;5674063;aerolin;4567041;No
7323546;aeromed;;Vigente;Insensible;Manual;;;;;;;7323545;aeromed;4567041;No
7441623;aerometrol plus LF;;Vigente;Insensible;Manual;;;;;;;7769006;aerometrol plus LF;4567041;No
6364951;aerotrop;;Vigente;Insensible;Manual;;;;;;;7769016;aerotrop;4567041;No
6905139;aerovial;;Vigente;Insensible;Manual;;;;;;;7769020;aerovial;4567041;No
7224437;afatinib;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
5678206;afinitor;;Vigente;Sensible;Manual;;;;;;;5674066;afinitor;4567041;No
6514012;aflarex;;Vigente;Insensible;Manual;;;;;;;7769029;aflarex;4567041;No
6631175;aflogol;;Vigente;Sensible;Manual;;;;;;;7769031;aflogol;4567041;No
7418462;aftagel;;Vigente;Insensible;Manual;;;;;;;7769038;aftagel;4567041;No
7572496;agaton;;Vigente;Insensible;Manual;;;;;;;7769044;agaton;4567041;No
7506707;agglad ofteno;;Vigente;Insensible;Manual;;;;;;;7769060;agglad ofteno;4567041;No
7196668;agilect;;Vigente;Insensible;Manual;;;;;;;7196666;agilect;4567041;No
7623868;agrastat;;Vigente;Insensible;Manual;;;;;;;7769061;agrastat;4567041;No
6905149;agreplat;;Vigente;Insensible;Manual;;;;;;;7769067;agreplat;4567041;No
7079541;agua bidestilada;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7496533;agua de melisa;;Vigente;Insensible;Manual;;;;;;;7713179;agua de melisa;4567041;No
7475836;agua del carmen;;Vigente;Insensible;Manual;;;;;;;7769069;agua del carmen;4567041;No
7543736;agua estéril;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7627243;agua oxigenada 10 volumenes;;Vigente;Insensible;Manual;;;;;;;7627237;agua oxigenada;4567041;No
7627245;agua oxigenada 20 volumenes;;Vigente;Insensible;Manual;;;;;;;7627237;agua oxigenada;4567041;No
7658775;akerat 10;;Vigente;Insensible;Manual;;;;;;;7658882;akerat;4567041;No
7658795;akerat 30;;Vigente;Insensible;Manual;;;;;;;7658882;akerat;4567041;No
6358399;albeoler LF;;Vigente;Insensible;Manual;;;;;;;7769071;albeoler LF;4567041;No
6905117;albúmina;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7627472;albutein;;Vigente;Insensible;Manual;;;;;;;7769073;albutein;4567041;No
7591907;alcanfor;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7092175;alcohol gel;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6524888;alcon cilo - dex;;Vigente;Insensible;Manual;;;;;;;7769074;alcon cilo - dex;4567041;No
7196838;aldactone;;Vigente;Insensible;Manual;;;;;;;7769078;aldactone;4567041;No
6797174;aldara;;Vigente;Insensible;Manual;;;;;;;7769083;aldara;4567041;No
6413450;aldinam;;Vigente;Insensible;Manual;;;;;;;7769087;aldinam;4567041;No
7202068;aldomet;;Vigente;Insensible;Manual;;;;;;;7769089;aldomet;4567041;No
5678216;aldrox;;Vigente;Sensible;Manual;;;;;;;5674068;aldrox;4567041;No
7557240;aldurazyme;;Vigente;Insensible;Manual;;;;;;;7769091;aldurazyme;4567041;No
6905116;alenys;;Vigente;Insensible;Manual;;;;;;;7769092;alenys;4567041;No
5678327;alerfix;;Vigente;Sensible;Manual;;;;;;;5674069;alerfix;4567041;No
7598987;alergan;;Vigente;Insensible;Manual;;;;;;;7769107;alergan;4567041;No
5678329;alertex;;Vigente;Sensible;Manual;;;;;;;5674072;alertex;4567041;No
5678331;alertop;;Vigente;Sensible;Manual;;;;;;;5674073;alertop;4567041;No
5678337;alertop - D;;Vigente;Sensible;Manual;;;;;;;5674073;alertop;4567041;No
7253620;alexan;;Vigente;Insensible;Manual;;;;;;;7769109;alexan;4567041;No
5678339;alexia;;Vigente;Sensible;Manual;;;;;;;5674076;alexia;4567041;No
5678341;alexia D;;Vigente;Sensible;Manual;;;;;;;5674076;alexia;4567041;No
7739068;alexia forte;;Vigente;Insensible;Manual;;;;;;;5674076;alexia;4567041;No
6632309;alfadoxin;;Vigente;Insensible;Manual;;;;;;;7769114;alfadoxin;4567041;No
7648601;alfamino;;Vigente;Insensible;Manual;;;;;;;7769118;alfamino;4567041;No
6905367;alfin;;Vigente;Insensible;Manual;;;;;;;7769124;alfin;4567041;No
6631400;algex;;Vigente;Sensible;Manual;;;;;;;7298573;algex;4567041;No
6495649;algiafin;;Vigente;Insensible;Manual;;;;;;;7769128;algiafin;4567041;No
6495740;algiasol;;Vigente;Insensible;Manual;;;;;;;7769131;algiasol;4567041;No
6916677;algiasol forte;;Vigente;Insensible;Manual;;;;;;;7769131;algiasol;4567041;No
6631450;algifemin;;Vigente;Insensible;Manual;;;;;;;7298572;algifemin;4567041;No
5678342;alimta;;Vigente;Sensible;Manual;;;;;;;5674082;alimta;4567041;No
6566204;alivax;;Vigente;Insensible;Manual;;;;;;;7345529;alivax;4567041;No
5678350;alkeran;;Vigente;Sensible;Manual;;;;;;;5674084;alkeran;4567041;No
7650932;all out piojos;;Vigente;Insensible;Manual;;;;;;;7769140;all out piojos;4567041;No
7310939;alledryl;;Vigente;Insensible;Manual;;;;;;;5674091;alledryl;4567041;No
5678351;alledryl - D;;Vigente;Sensible;Manual;;;;;;;5674091;alledryl;4567041;No
5678352;allegra;;Vigente;Sensible;Manual;;;;;;;5674100;allegra;4567041;No
5678357;allegra D;;Vigente;Sensible;Manual;;;;;;;5674100;allegra;4567041;No
5678360;allegra pediátrico;;Vigente;Sensible;Manual;;;;;;;5674100;allegra;4567041;No
7158514;almaxol;;Vigente;Insensible;Manual;;;;;;;7769144;almaxol;4567041;No
6557006;alodil;;Vigente;Insensible;Manual;;;;;;;7769145;alodil;4567041;No
6557195;alondra;;Vigente;Insensible;Manual;;;;;;;7769147;alondra;4567041;No
7413402;alopek;;Vigente;Insensible;Manual;;;;;;;7769150;alopek;4567041;No
6644230;alopurinol;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
6632579;alpaz;;Vigente;Insensible;Manual;;;;;;;7722857;alpaz;4567041;No
7469947;alphacaine;;Vigente;Insensible;Manual;;;;;;;7769154;alphacaine;4567041;No
6500821;alphagan;;Vigente;Insensible;Manual;;;;;;;7504130;alphagan;4567041;No
6500907;alphagan P;;Vigente;Sensible;Manual;;;;;;;7504130;alphagan;4567041;No
6632625;alprazolam;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
7177588;alsarkare;;Vigente;Insensible;Manual;;;;;;;7769155;alsarkare;4567041;No
6632670;alsylax;;Vigente;Sensible;Manual;;;;;;;7769156;alsylax;4567041;No
5678362;altazinc;;Vigente;Sensible;Manual;;;;;;;5674104;altazinc;4567041;No
6894943;altesse;;Vigente;Insensible;Manual;;;;;;;7769159;altesse;4567041;No
7648778;althera;;Vigente;Insensible;Manual;;;;;;;7769162;althera;4567041;No
5678363;altruline;;Vigente;Sensible;Manual;;;;;;;5674113;altruline;4567041;No
7392123;amarilla;;Vigente;Insensible;Manual;;;;;;;7769165;amarilla;4567041;No
5678368;amaryl;;Vigente;Sensible;Manual;;;;;;;5674116;amaryl;4567041;No
7572729;amaryl M;;Vigente;Insensible;Manual;;;;;;;5674116;amaryl;4567041;No
7168042;amato;;Vigente;Insensible;Manual;;;;;;;7168040;amato;4567041;No
6654647;ambilan;;Vigente;Insensible;Manual;;;;;;;5674124;ambilan;4567041;No
5678369;ambilan bid;;Vigente;Sensible;Manual;;;;;;;5674124;ambilan;4567041;No
6433530;ambisome;;Vigente;Insensible;Manual;;;;;;;7769166;ambisome;4567041;No
7391890;ambroxol clorhidrato;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6651104;ambroxol clorhidrato infantil;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
6905128;amdipin;;Vigente;Insensible;Manual;;;;;;;7303052;amdipin;4567041;No
7017843;amikacina;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6633037;aminofilina;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
7675003;aminoven;;Vigente;Insensible;Manual;;;;;;;7675002;aminoven;4567041;No
7675005;aminoven infant;;Vigente;Insensible;Manual;;;;;;;7675002;aminoven;4567041;No
7630791;amiocar;;Vigente;Insensible;Manual;;;;;;;7769169;amiocar;4567041;No
6628941;amiodarona clorhidrato;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6623236;amirel;;Vigente;Insensible;Manual;;;;;;;7769176;amirel;4567041;No
6633392;amitriptilina;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
6633451;amloc;;Vigente;Sensible;Manual;;;;;;;7769178;amloc;4567041;No
6495814;amlodipino;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
5678370;amobiotic;;Vigente;Sensible;Manual;;;;;;;5674130;amobiotic;4567041;No
7345780;amobiotic bid;;Vigente;Insensible;Manual;;;;;;;5674130;amobiotic;4567041;No
5678377;amolex;;Vigente;Sensible;Manual;;;;;;;5674131;amolex;4567041;No
5678374;amolex duo;;Vigente;Sensible;Manual;;;;;;;5674131;amolex;4567041;No
5678376;amolex duo forte;;Vigente;Sensible;Manual;;;;;;;5674131;amolex;4567041;No
5678381;amoval;;Vigente;Sensible;Manual;;;;;;;5674134;amoval;4567041;No
5678384;amoval duo;;Vigente;Sensible;Manual;;;;;;;5674134;amoval;4567041;No
6633714;amoxicilina;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
6496116;amoxicilina - ácido clavulánico;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7212529;amoxil BD;;Vigente;Insensible;Manual;;;;;;;7769186;amoxil BD;4567041;No
5678386;amparax;;Vigente;Sensible;Manual;;;;;;;5674137;amparax;4567041;No
6634453;ampicilina;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
7558530;ampicilina - sulbactam;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7180845;ampino;;Vigente;Insensible;Manual;;;;;;;7180842;ampino;4567041;No
7345806;amplex 10 / 160;;Vigente;Insensible;Manual;;;;;;;7345805;amplex;4567041;No
7740126;amplex 5 / 160;;Vigente;Insensible;Manual;;;;;;;7345805;amplex;4567041;No
7740125;amplex 5 / 80;;Vigente;Insensible;Manual;;;;;;;7345805;amplex;4567041;No
7407090;ampliron;;Vigente;Insensible;Manual;;;;;;;7727326;ampliron;4567041;No
7727328;ampliron VL;;Vigente;Sensible;Manual;;;;;;;7727326;ampliron;4567041;No
6496170;amulsin;;Vigente;Insensible;Manual;;;;;;;7769249;amulsin;4567041;No
5678394;anacin;;Vigente;Sensible;Manual;;;;;;;5674146;anacin;4567041;No
7413870;anacin max;;Vigente;Insensible;Manual;;;;;;;5674146;anacin;4567041;No
5678396;anafranil;;Vigente;Sensible;Manual;;;;;;;5674148;anafranil;4567041;No
7421411;anagen;;Vigente;Insensible;Manual;;;;;;;7769253;anagen;4567041;No
7738054;analgésico dental;;Vigente;Insensible;Manual;;;;;;;7738052;analgésico dental;4567041;No
7633367;analgex;;Vigente;Insensible;Manual;;;;;;;7633366;analgex;4567041;No
6358657;analgex SAP;;Vigente;Sensible;Manual;;;;;;;7633366;analgex;4567041;No
7621198;anaprolina;;Vigente;Insensible;Manual;;;;;;;7769324;anaprolina;4567041;No
6496222;anastrozol;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7179221;anasvitae;;Vigente;Insensible;Manual;;;;;;;7179218;anasvitae;4567041;No
7675063;anbinex;;Vigente;Insensible;Manual;;;;;;;7769334;anbinex;4567041;No
7194040;andibet;;Vigente;Insensible;Manual;;;;;;;7194038;andibet;4567041;No
7756068;androgel;;Vigente;Insensible;Manual;;;;;;;7756071;androgel;4567041;No
5678402;anestalcon;;Vigente;Sensible;Manual;;;;;;;5674153;anestalcon;4567041;No
6634619;anfetamina sulfato;;Vigente;Sensible;Manual;;;;;;;;;4567040;Si
7188707;anfibol;;Vigente;Insensible;Manual;;;;;;;7769427;anfibol;4567041;No
7580673;anfotericina B;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
7411931;angeliq;;Vigente;Insensible;Manual;;;;;;;7769447;angeliq;4567041;No
5678403;angicon;;Vigente;Sensible;Manual;;;;;;;5674154;angicon;4567041;No
7117111;angiolingual;;Vigente;Insensible;Manual;;;;;;;7769449;angiolingual;4567041;No
6557026;angiomax;;Vigente;Insensible;Manual;;;;;;;7727794;angiomax;4567041;No
6657266;anisimol;;Vigente;Sensible;Manual;;;;;;;7769456;anisimol;4567041;No
7438814;anoro ellipta;;Vigente;Insensible;Manual;;;;;;;7769462;anoro ellipta;4567041;No
7495833;anovulatorio;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
6634499;anposel;;Vigente;Insensible;Manual;;;;;;;7320748;anposel;4567041;No
5678404;ansaid;;Vigente;Sensible;Manual;;;;;;;5674160;ansaid;4567041;No
7338754;ansietil;;Vigente;Insensible;Manual;;;;;;;7338751;ansietil;4567041;No
6354915;antabus;;Vigente;Insensible;Manual;;;;;;;7769465;antabus;4567041;No
5678407;antalin;;Vigente;Sensible;Manual;;;;;;;5674162;antalin;4567041;No
5678408;antalin forte;;Vigente;Sensible;Manual;;;;;;;5674162;antalin;4567041;No
5678409;antiax;;Vigente;Sensible;Manual;;;;;;;5674166;antiax;4567041;No
7721487;antihemorroidal;;Vigente;Insensible;Manual;;;;;;;7721486;antihemorroidal;4567041;No
7658863;antirougeurs fort;;Vigente;Insensible;Manual;;;;;;;7658879;antirougeurs;4567041;No
7658819;antirougeurs jour;;Vigente;Insensible;Manual;;;;;;;7658879;antirougeurs;4567041;No
6669192;anuar;;Vigente;Sensible;Manual;;;;;;;7338776;anuar;4567041;No
6496283;anulcer;;Vigente;Insensible;Manual;;;;;;;7769494;anulcer;4567041;No
6512202;anulette;;Vigente;Insensible;Manual;;;;;;;7769497;anulette;4567041;No
6512229;anulette CD;;Vigente;Insensible;Manual;;;;;;;7769497;anulette;4567041;No
6512551;anulette 20 CD;;Vigente;Insensible;Manual;;;;;;;7769497;anulette;4567041;No
7195273;anulit;;Vigente;Insensible;Manual;;;;;;;7769501;anulit;4567041;No
7165482;anzap;;Vigente;Insensible;Manual;;;;;;;7769506;anzap;4567041;No
6636634;apeplus;;Vigente;Insensible;Manual;;;;;;;7769507;apeplus;4567041;No
7459131;apetrol;;Vigente;Insensible;Manual;;;;;;;7769526;apetrol;4567041;No
5678414;apidra;;Vigente;Sensible;Manual;;;;;;;5674172;apidra;4567041;No
7360005;apidra solostar;;Vigente;Insensible;Manual;;;;;;;5674172;apidra;4567041;No
6633858;aplacid;;Vigente;Insensible;Manual;;;;;;;7306126;aplacid;4567041;No
6407226;apo - go;;Vigente;Sensible;Manual;;;;;;;7299688;apo - go;4567041;No
7299778;apo - go pen;;Vigente;Insensible;Manual;;;;;;;7299688;apo - go;4567041;No
6496346;aprinol;;Vigente;Insensible;Manual;;;;;;;7301480;aprinol;4567041;No
7579128;aprovasc;;Vigente;Insensible;Manual;;;;;;;7769528;aprovasc;4567041;No
5678417;aprovel;;Vigente;Sensible;Manual;;;;;;;5674174;aprovel;4567041;No
7634392;aquaprécis;;Vigente;Insensible;Manual;;;;;;;7769535;aquaprécis;4567041;No
5678423;aracytin;;Vigente;Sensible;Manual;;;;;;;5674182;aracytin;4567041;No
6601543;aradix;;Vigente;Sensible;Manual;;;;;;;7583690;aradix;4567041;No
6601665;aradix retard;;Vigente;Sensible;Manual;;;;;;;7583690;aradix;4567041;No
5678424;aratan;;Vigente;Sensible;Manual;;;;;;;5674185;aratan;4567041;No
5678425;aratan D;;Vigente;Sensible;Manual;;;;;;;5674185;aratan;4567041;No
7305892;aratan D forte;;Vigente;Insensible;Manual;;;;;;;5674185;aratan;4567041;No
6627854;arava;;Vigente;Insensible;Manual;;;;;;;7769546;arava;4567041;No
6496381;arcalion;;Vigente;Insensible;Manual;;;;;;;7769551;arcalion;4567041;No
7428849;arcolane;;Vigente;Insensible;Manual;;;;;;;7769556;arcolane;4567041;No
5703021;arcoxia;;Vigente;Sensible;Manual;;;;;;;5702885;arcoxia;4567041;No
5678429;arel;;Vigente;Sensible;Manual;;;;;;;5674187;arel;4567041;No
5678431;arendal;;Vigente;Sensible;Manual;;;;;;;5674201;arendal;4567041;No
5678432;arendal D3;;Vigente;Sensible;Manual;;;;;;;5674201;arendal;4567041;No
7134295;argium;;Vigente;Insensible;Manual;;;;;;;7349011;argium;4567041;No
7200210;arilex FT;;Vigente;Insensible;Manual;;;;;;;7769561;arilex FT;4567041;No
6658126;arimidex;;Vigente;Sensible;Manual;;;;;;;7769564;arimidex;4567041;No
7199692;aripiprazol;;Vigente;Insensible;Manual;;;;;;;;;4567040;Si
5678436;arixtra;;Vigente;Sensible;Manual;;;;;;;5674203;arixtra;4567041;No
6632301;arlette 28;;Vigente;Insensible;Manual;;;;;;;7769572;arlette 28;4567041;No
7440098;arnela;;Vigente;Insensible;Manual;;;;;;;7770271;arnela;4567041;No
7421329;arnikaderm;;Vigente;Insensible;Manual;;;;;;;7770275;arnikaderm;4567041;No
7438860;arnuity ellipta;;Vigente;Insensible;Manual;;;;;;;7770288;arnuity ellipta;4567041;No
6632366;aromasin;;Vigente;Insensible;Manual;;;;;;;7772118;aromasin;4567041;No
5678444;aroxat;;Vigente;Sensible;Manual;;;;;;;5674220;aroxat;4567041;No
5678445;aroxat CR;;Vigente;Sensible;Manual;;;;;;;5674220;aroxat;4567041;No
6566167;arrumal;;Vigente;Insensible;Manual;;;;;;;7772120;arrumal;4567041;No
7297323;arsenox;;Vigente;Insensible;Manual;;;;;;;7297325;arsenox;4567041;No
5678446;artesol;;Vigente;Sensible;Manual;;;;;;;5674229;artesol;4567041;No
7470567;articaine;;Vigente;Insensible;Manual;;;;;;;7772122;articaine;4567041;No
5896051;artren;;Vigente;Sensible;Manual;;;;;;;7312858;artren;4567041;No
7134539;artrexib;;Vigente;Insensible;Manual;;;;;;;7772123;artrexib;4567041;No
