ConceptID;Term;RegNUM;RegAÑO
812331000167107;valvitae 80 mg comprimido recubierto (Galenicum);F-21231;14
812341000167104;donegal suspensión oral para gotas (Medipharm);F-20640;13
812351000167101;gastrolen comprimido recubierto (Chemopharma);F-8732;16
812361000167103;lactulosa 65% solución oral (Mintlab);F-12493;17
812371000167109;bilaten 16 mg comprimido (Medipharm);F-3396;15
812381000167106;lipitor 80 mg comprimido recubierto (Pfizer);F-21004;14
812391000167108;amoxicilina 500 mg/5 mL polvo para suspensión oral (Andrómaco);F-15010;15
812401000167106;bilaten 8 mg comprimido (Medipharm);F-3394;15
812411000167108;cefadroxilo 250 mg/5 mL polvo para suspensión oral (Mintlab);F-6875;15
812421000167103;diclofenaco sódico 12,5 mg supositorio (Pasteur);F-6540;15
812431000167101;furdiuren comprimido (Chemopharma);F-3278;15
812441000167109;glivec 100 mg comprimido recubierto (Novartis);F-21470;14
812451000167107;dolonase comprimido (Medipharm);F-7737;16
812461000167105;navizil supositorio (Alpes Chemie);F-14136;14
812491000167100;avonex solución inyectable (Biogen);B-2530;15
812501000167105;oxibamate 100 mg/20 mL concentrado para solución para perfusión (Andrómaco);F-21299;14
812511000167107;metamizol sódico 1000 mg/2 mL solución inyectable (Biosano);F-14284;14
812521000167102;ácido zoledrónico 4 mg/5 mL solución concentrada para perfusión (Fresenius Kabi);F-20414;13
812531000167100;ácido zoledrónico 4 mg polvo liofilizado para solución para infusión intravenosa con solvente (Complex Therap);F-19931;18
812541000167108;nartan comprimido recubierto (Lab Chile);F-18651;16
812551000167106;dolofar solución inyectable (Medipharm);F-7581;16
812561000167109;nimesyl cápsula (Synthon);F-7850;16
812571000167103;emagrim comprimido recubierto (Chemopharma);F-3667;15
812581000167101;oxibamate 50 mg/10 mL concentrado para solución para perfusión (Andrómaco);F-21298;14
812591000167104;eritromicina 200 mg/5 mL polvo para suspensión oral (Mintlab);B-765;15
812611000167106;elbrus comprimido (Roemmers);F-18704;16
812621000167101;navizil gragea (Alpes Chemie);F-14137;14
812631000167104;brilinta comprimido recubierto (Astrazeneca);F-18910;16
812651000167105;docetaxel 20 mg/0,5 mL concentrado para solución para perfusión intravenosa con solvente (GP Pharm);F-21215;14
812661000167108;sedoran 50 mg comprimido recubierto (Raffo);F-21546;14
812681000167100;leodrin comprimido recubierto (Recalcine);F-8842;16
812691000167103;sedoran 100 mg comprimido recubierto (Raffo);F-21524;14
812701000167103;laxantil solución oral para gotas (Chemopharma);F-8740;16
812711000167101;alsarkare 80 mg comprimido recubierto (Etex);F-19190;17
812721000167106;sertralina 100 mg comprimido (Lab Chile);F-18767;16
812731000167108;sertralina 100 mg comprimido recubierto (Andrómaco);F-20974;14
812741000167100;tetralysal cápsula (Galderma);B-1968;17
812751000167102;fluconazol 150 mg cápsula (Mintlab);F-17831;14
812761000167104;docetaxel 80 mg/2 mL concentrado para solución para perfusión intravenosa con solvente (GP Pharm);F-21214;14
812771000167105;tobrex solución oftálmica (Alcon);F-15090;15
812791000167109;menuix comprimido (Pharma Investi);F-17786;14
812811000167105;topamax 25 mg comprimido recubierto (Janssen);F-914;14
812821000167100;rize 5 mg comprimido recubierto (Andrómaco);F-12498;17
812831000167103;ergometrina maleato 0,2 mg/mL solución inyectable (Sanderson);F-6150;15
