CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PRESC_FK;PRESC_DESC;MEDICAMENTO_BASICO_FK;MEDICAMENTO_BASICO_DESC;FRM_FARMA_AGRP_FK;FRM_FARMA_AGRP_DESC;CONDICION_VENTA_FK;CONDICION_VENTA_DESC;ESTADO_PRESCRIPCION_FK;ESTADO_PRESCRIPCION_DESC;TIPO_FORMA_AGRP_FK;TIPO_FORMA_AGRP_DESC;UNIDOSIS_LOGISTICA_CANT;UNIDOSIS_LOGISTICA_UNIDAD_FK;UNIDOSIS_LOGISTICA_UNIDAD_DESC;UNIDOSIS_ASISTENCIAL_CANT;UNI_ASISTENCIAL_UNIDAD_FK;UNI_ASISTENCIAL_UNIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_FK;VOLUMEN_TOTAL_UNIDAD_DESC;ATC_DESCRIPCION_FK;ATC_DESCRIPCION_DESC;URL_MEDLINE_PLUS;VIAS_ADMINISTRACION;MC_SUST;;;;;
7641026;aceglutamida 25 mg + ácido gamma amino beta hidroxibutírico 25 mg + ácido gamma aminobutírico 250 mg + piridoxina 25 mg cápsula;;Vigente;Insensible;Manual;;;;;;;4589063;válido como MC prescribible;7640997;aceglutamida + ácido gamma amino beta hidroxibutírico + ácido gamma aminobutírico + piridoxina;5714915;cápsula;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767844;cápsula;1;5767844;cápsula;0;;;;;;;"• piridoxina ¦ 25 mg ¦ 0  ¦ 4 ¦ Vigente• ácido gamma aminobutírico ¦ 250 mg ¦ 0  ¦ 3 ¦ Vigente• aceglutamida ¦ 25 mg ¦ 0  ¦ 1 ¦ Vigente• ácido gamma amino beta hidroxibutírico ¦ 25 mg ¦ 0  ¦ 2 ¦ Vigente";;;;;
7641367;aceglutamida 25 mg/5 mL + ácido gamma amino beta hidroxibutírico 25 mg/5 mL + ácido gamma aminobutírico 250 mg/5 mL + piridoxina 25 mg/5 mL solución oral;;Vigente;Insensible;Manual;;;;;;;4589063;válido como MC prescribible;7640997;aceglutamida + ácido gamma amino beta hidroxibutírico + ácido gamma aminobutírico + piridoxina;5715329;solución oral;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5765871;mililitro;0;;;;;;;"• piridoxina ¦ 25 mg ¦ 5 mL ¦ 4 ¦ Vigente• ácido gamma aminobutírico ¦ 250 mg ¦ 5 mL ¦ 3 ¦ Vigente• ácido gamma amino beta hidroxibutírico ¦ 25 mg ¦ 5 mL ¦ 2 ¦ Vigente• aceglutamida ¦ 25 mg ¦ 5 mL ¦ 1 ¦ Vigente";;;;;
7526037;aceite de hígado de bacalao 11% (110 mg/g) + clorocarvacol 0,1% (1 mg/g) + oxipolietoxidodecano 5% (50 mg/g) ungüento rectal;;Vigente;Insensible;Manual;Si;;;;;• 5924232 - ARSENAL;4589063;válido como MC prescribible;7524182;medicamento básico especial;5715416;ungüento rectal;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5912594;pomo;1;5767715;aplicación;0;;;;;;;"• aceite de hígado de bacalao ¦ 110 mg ¦ 1 g ¦ 1 ¦ Vigente• oxipolietoxidodecano ¦ 50 mg ¦ 1 g ¦ 3 ¦ Vigente• clorocarvacol ¦ 1 mg ¦ 1 g ¦ 1 ¦ Vigente";;;;;
5680331;aceite de hígado de bacalao 220 mg + clorocarvacol 0,7 mg + oxipolietoxidodecano 20 mg supositorio;;Vigente;Sensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5494896;aceite de hígado de bacalao + clorocarvacol + oxipolitoxidodecano;5715378;supositorio;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767893;supositorio;1;5767893;supositorio;0;;;;;;;"• clorocarvacol ¦ ,7 mg ¦ 0  ¦ 3 ¦ Vigente• oxipolietoxidodecano ¦ 20 mg ¦ 0  ¦ 2 ¦ Vigente• aceite de hígado de bacalao ¦ 220 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
7635394;aceite tópico;;Vigente;Insensible;Manual;;;;;;;4589064;nunca válido para prescribir como MC;7524182;medicamento básico especial;7081553;aceite tópico;4589043;directa;4589064;nunca válido para prescribir como MC;4567042;Discreta;1;5767861;frasco;1;5767715;aplicación;0;;;;;;;• sustancia especial ¦ 1 aplicación ¦ 0  ¦ 1 ¦ Vigente;;;;;
384126;acenocumarol 4 mg comprimido;;Vigente;Insensible;Manual;Si;;79356008;acenocumarol;;• 5924232 - ARSENAL;4589063;válido como MC prescribible;5406762;acenocumarol;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4576745;B01AA07;;;• acenocumarol ¦ 4 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
7729506;acetato de betametasona 6 mg/2 mL (3 mg/mL) + betametasona fosfato sódico 8 mg/2 mL (4 mg/mL) inyectable;;Vigente;Insensible;Manual;;;;;;;4589063;válido como MC prescribible;5531671;acetato de betametasona + betametasona fosfato sódico;5715210;inyectable;4589046;receta médica retenida;4589063;válido como MC prescribible;4567043;Continua;1;5917385;jeringa prellenada;1;5765871;mililitro;2;7008554;mililitros;4578610;H02AB01;;;"• betametasona fosfato sódico ¦ 4 mg ¦ 1 mL ¦ 2 ¦ Vigente• acetato de betametasona ¦ 3 mg ¦ 1 mL ¦ 1 ¦ Vigente";;;;;
93137;acetato de betametasona 9 mg/3 mL (3 mg/mL) + betametasona fosfato sódico 12 mg/3 mL (4 mg/mL) inyectable;;Vigente;Insensible;Manual;Si;;377241007;acetato de betametasona + fosfato sódico de betametasona, 3 mg/3 mg por ml, suspensión inyectable;;"• 5924232 - ARSENAL• 7164019 - Dispensadores automático urgencia• 7164027 - Media";4589063;válido como MC prescribible;5531671;acetato de betametasona + betametasona fosfato sódico;5715210;inyectable;4589046;receta médica retenida;4589063;válido como MC prescribible;4567043;Continua;1;5767802;ampolla;1;5765870;miligramo;3;7008554;mililitros;4578610;H02AB01;;;"• betametasona fosfato sódico ¦ 3 mg ¦ 1 mL ¦ 2 ¦ Vigente• acetato de betametasona ¦ 3 mg ¦ 1 mL ¦ 1 ¦ Vigente";;;;;
5986349;acetato de calcio 667 mg (calcio 169 mg) comprimido;;Vigente;Insensible;Manual;Si;;376989001;acetato de calcio, 667 mg, comprimido;;;4589063;válido como MC prescribible;5406848;acetato de calcio;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;;;;;• acetato de calcio ¦ 667 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
5987107;acetato de sodio 30% (300 mg/mL) inyectable;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5407217;acetato de sodio;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767802;ampolla;1;5765870;miligramo;0;;;4576998;B05XA08;;;• acetato de sodio ¦ 300 mg ¦ 1 mL ¦ 1 ¦ Vigente;;;;;
7502722;acetato de zinc 1,2% (12 mg/mL) + eritromicina 4% (40 mg/mL) loción;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;7502709;acetato de zinc + eritromicina;5715290;loción;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5767715;aplicación;0;;;;;;;"• eritromicina ¦ 40 mg ¦ 1 mL ¦ 2 ¦ Vigente• acetato de zinc ¦ 12 mg ¦ 1 mL ¦ 1 ¦ Vigente";;;;;
520;acetazolamida 250 mg comprimido;;Vigente;Insensible;Manual;Si;;330601002;acetazolamida, 250 mg, comprimido;;"• 5924232 - ARSENAL• 7066492 - Petitorio mínimo";4589063;válido como MC prescribible;5407466;acetazolamida;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4581238;S01EC01;;;• acetazolamida ¦ 250 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
7637442;acetilcisteína 100 mg granulado;;Vigente;Insensible;Manual;;;;;;;4589063;válido como MC prescribible;5409283;acetilcisteína;5715069;granulado;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767600;sobre;1;5765870;miligramo;0;;;4581458;V03AB23;;;• acetilcisteína ¦ 100 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
421025;acetilcisteína 100 mg/mL solución para nebulización;;Vigente;Sensible;Manual;Si;;;;;"• 5924232 - ARSENAL• 7164019 - Dispensadores automático urgencia• 7164027 - Media";4589063;válido como MC prescribible;5409283;acetilcisteína;5715357;solución para nebulización;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5765870;miligramo;15;7008554;mililitros;4581458;V03AB23;;;• acetilcisteína ¦ 100 mg ¦ 1 mL ¦ 1 ¦ Vigente;;;;;
318334;acetilcisteína 2% (20 mg/g) granulado;;Vigente;Insensible;Manual;;;;;;;4589063;válido como MC prescribible;5409283;acetilcisteína;5715069;granulado;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5765871;mililitro;0;;;4580917;R05CB01;;;• acetilcisteína ¦ 20 mg ¦ 1 g ¦ 1 ¦ Vigente;;;;;
7637452;acetilcisteína 600 mg granulado;;Vigente;Insensible;Manual;;;;;;;4589063;válido como MC prescribible;5409283;acetilcisteína;5715069;granulado;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767600;sobre;1;5765870;miligramo;0;;;4581458;V03AB23;;;• acetilcisteína ¦ 600 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
5987271;acetónido de fluocinolona 0,01% (100 mcg/g) + hidroquinona 4% (40 mg/g) + tretinoína 0,05% (500 mcg/g) crema;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5679174;acetónido de fluocinolona + hidroquinona + tretinoína;5714974;crema;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5912594;pomo;1;5767715;aplicación;0;;;;;;;"• tretinoína ¦ 500 mcg ¦ 1 g ¦ 3 ¦ Vigente• hidroquinona ¦ 40 mg ¦ 1 g ¦ 2 ¦ Vigente• acetónido de fluocinolona ¦ 100 mcg ¦ 1 g ¦ 1 ¦ Vigente";;;;;
5915444;acetónido de fluocinolona 250 mcg/mL + ciprofloxacino 3 mg/mL gotas óticas;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5915414;acetónido de fluocinolona + ciprofloxacino;5715058;gotas óticas;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767861;frasco;1;5767862;gotas;10;5765871;mililitro;;;;;"• acetónido de fluocinolona ¦ 250 mcg ¦ 1 mL ¦ 2 ¦ Vigente• ciprofloxacino ¦ 3 mg ¦ 1 mL ¦ 1 ¦ Vigente";;;;;
7523224;acetónido de fluocinolona 250 mcg/mL + lidocaína 20 mg/mL + neomicina 3,5 mg/mL + polimixina B 1000 UI/mL gotas óticas;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;7523192;acetónido de fluocinolona + lidocaína + neomicina + polimixina B;5715058;gotas óticas;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5767862;gotas;0;;;;;;;"• polimixina B ¦ 1000 UI ¦ 1 mL ¦ 4 ¦ Vigente• neomicina ¦ 3,5 mg ¦ 1 mL ¦ 3 ¦ Vigente• lidocaína ¦ 20 mg ¦ 1 mL ¦ 2 ¦ Vigente• acetónido de fluocinolona ¦ 250 mcg ¦ 1 mL ¦ 1 ¦ Vigente";;;;;
54359;aciclovir 200 mg comprimido;;Vigente;Sensible;Manual;Si;;324726004;aciclovir, 200 mg, comprimido;;"• 5924232 - ARSENAL• 7066492 - Petitorio mínimo";4589063;válido como MC prescribible;5407601;aciclovir;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4579024;J05AB01;;;• aciclovir ¦ 200 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
73944;aciclovir 200 mg/5 mL suspensión oral;;Vigente;Sensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5407601;aciclovir;5715371;suspensión oral;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5765871;mililitro;100;5765871;mililitro;4579024;J05AB01;;;• aciclovir ¦ 200 mg ¦ 5 mL ¦ 1 ¦ Vigente;;;;;
7028370;aciclovir 250 mg inyectable;;Vigente;Insensible;Manual;Si;;324728003;aciclovir, 250 mg, polvo para solución de infusión, vial;;"• 5924226 - ARSENAL• 7164019 - Dispensadores automático urgencia• 7164027 - Media";4589063;válido como MC prescribible;5407601;aciclovir;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767894;vial;1;5765870;miligramo;0;;;4579024;J05AB01;;;• aciclovir ¦ 250 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
620;aciclovir 250 mg/10 mL (25 mg/mL) inyectable;;Vigente;Sensible;Manual;Si;;324746009;aciclovir, 250 mg/10 ml, infusión intravenosa;;• 5924232 - ARSENAL;4589063;válido como MC prescribible;5407601;aciclovir;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767802;ampolla;1;5765871;mililitro;10;5765871;mililitro;4579024;J05AB01;;;• aciclovir ¦ 250 mg ¦ 10 mL ¦ 1 ¦ Vigente;;;;;
316936;aciclovir 3% (30 mg/g) ungüento oftálmico;;Vigente;Insensible;Manual;Si;;;;;• 7066492 - Petitorio mínimo;4589063;válido como MC prescribible;5407601;aciclovir;5715415;ungüento oftálmico;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5912594;pomo;1;5767715;aplicación;0;;;4581131;S01AD03;;;• aciclovir ¦ 30 mg ¦ 1 g ¦ 1 ¦ Vigente;;;;;
162358;aciclovir 400 mg comprimido;;Vigente;Insensible;Manual;Si;;324729006;aciclovir, 400 mg, comprimido;;• 7066492 - Petitorio mínimo;4589063;válido como MC prescribible;5407601;aciclovir;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4579024;J05AB01;;;• aciclovir ¦ 400 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
138578;aciclovir 400 mg/5 mL suspensión oral;;Vigente;Sensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5407601;aciclovir;5715371;suspensión oral;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767861;frasco;1;5765871;mililitro;100;5765871;mililitro;4579024;J05AB01;;;• aciclovir ¦ 400 mg ¦ 5 mL ¦ 1 ¦ Vigente;;;;;
182321;aciclovir 5% (50 mg/g) crema;;Vigente;Sensible;Manual;Si;No;333020002;aciclovir, 5%, crema;;"• 5924232 - ARSENAL• 7066492 - Petitorio mínimo";4589063;válido como MC prescribible;5407601;aciclovir;5714974;crema;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5912594;pomo;1;5767715;aplicación;0;;;4577951;D06BB03;;;• aciclovir ¦ 50 mg ¦ 1 g ¦ 1 ¦ Vigente;;;;;
316939;aciclovir 5% (50 mg/g) ungüento;;Vigente;Insensible;Manual;;;;;;;4589063;válido como MC prescribible;5407601;aciclovir;5715413;ungüento;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5912594;pomo;1;5767715;aplicación;0;;;4577951;D06BB03;;;• aciclovir ¦ 50 mg ¦ 1 g ¦ 1 ¦ Vigente;;;;;
261038;aciclovir 500 mg inyectable;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5407601;aciclovir;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767894;vial;1;5765870;miligramo;0;;;4579024;J05AB01;;;• aciclovir ¦ 500 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
152072;aciclovir 500 mg/20 mL (25 mg/mL) inyectable;;Vigente;Insensible;Manual;Si;;324747000;aciclovir, 500 mg/20 ml, infusión intravenosa;;• 5924232 - ARSENAL;4589063;válido como MC prescribible;5407601;aciclovir;5715210;inyectable;4589044;receta médica;4589063;válido como MC prescribible;4567043;Continua;1;5767802;ampolla;1;5765870;miligramo;20;7008554;mililitros;4579024;J05AB01;;;• aciclovir ¦ 500 mg ¦ 20 mL ¦ 1 ¦ Vigente;;;;;
532503;aciclovir 800 mg comprimido;;Vigente;Insensible;Manual;;;324744007;aciclovir, 800 mg, comprimido;;;4589063;válido como MC prescribible;5407601;aciclovir;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4579024;J05AB01;;;• aciclovir ¦ 800 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
7452105;ácido acetilsalicílico 100 mg + clopidogrel 75 mg comprimido;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5494400;ácido acetilsalicílico + clopidogrel;5714967;comprimido;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;;;;;"• clopidogrel ¦ 75 mg ¦ 0  ¦ 2 ¦ Vigente• ácido acetilsalicílico ¦ 100 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
103322;ácido acetilsalicílico 100 mg comprimido;;Vigente;Insensible;Manual;Si;;;;;"• 5924232 - ARSENAL• 7066492 - Petitorio mínimo";4589063;válido como MC prescribible;5408557;ácido acetilsalicílico;5714967;comprimido;4589043;directa;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4579945;N02BA01;;;• ácido acetilsalicílico ¦ 100 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
7379190;ácido acetilsalicílico 250 mg + cafeína 65 mg + paracetamol 250 mg comprimido;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5408745;ácido acetilsalicílico + cafeína + paracetamol;5714967;comprimido;4589043;directa;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;;;;;"• paracetamol ¦ 250 mg ¦ 0  ¦ 3 ¦ Vigente• cafeína ¦ 65 mg ¦ 0  ¦ 2 ¦ Vigente• ácido acetilsalicílico ¦ 250 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
7413865;ácido acetilsalicílico 300 mg + cafeína 45 mg + paracetamol 200 mg comprimido;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5408745;ácido acetilsalicílico + cafeína + paracetamol;5714967;comprimido;4589043;directa;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;;;;;"• paracetamol ¦ 200 mg ¦ 0  ¦ 3 ¦ Vigente• cafeína ¦ 45 mg ¦ 0  ¦ 2 ¦ Vigente• ácido acetilsalicílico ¦ 300 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
7413209;ácido acetilsalicílico 324 mg + ácido cítrico 1223 mg + bicarbonato de sodio 1737 mg comprimido;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;7413069;ácido acetilsalicílico + ácido cítrico + bicarbonato de sodio;5714967;comprimido;4589043;directa;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;;;;;"• bicarbonato de sodio ¦ 1737 mg ¦ 0  ¦ 3 ¦ Vigente• ácido cítrico ¦ 1223 mg ¦ 0  ¦ 2 ¦ Vigente• ácido acetilsalicílico ¦ 324 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
126043;ácido acetilsalicílico 325 mg comprimido;;Vigente;Insensible;Manual;Si;;370166004;aspirina, 325 mg, comprimido;;;4589063;válido como MC prescribible;5408557;ácido acetilsalicílico;5714967;comprimido;4589043;directa;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5765870;miligramo;0;;;4579945;N02BA01;http://www.nlm.nih.gov/medlineplus/spanish/druginfo/meds/a682878-es.html;;• ácido acetilsalicílico ¦ 325 mg ¦ 0  ¦ 1 ¦ Vigente;;;;;
7299159;ácido acetilsalicílico 340 mg + cafeína 35 mg + clorfenamina 2 mg cápsula;;Vigente;Insensible;Manual;Si;;;;;;4589063;válido como MC prescribible;7299133;ácido acetilsalicílico + cafeína + clorfenamina;5714915;cápsula;4589044;receta médica;4589063;válido como MC prescribible;4567042;Discreta;1;5767844;cápsula;1;5767844;cápsula;0;;;;;;;"• clorfenamina ¦ 2 mg ¦ 0  ¦ 3 ¦ Vigente• cafeína ¦ 35 mg ¦ 0  ¦ 2 ¦ Vigente• ácido acetilsalicílico ¦ 340 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
5986647;ácido acetilsalicílico 400 mg + cafeína 15 mg oblea;;Vigente;Sensible;Manual;Si;;;;;;4589063;válido como MC prescribible;5408572;ácido acetilsalicílico + cafeína;5715291;oblea;4589043;directa;4589063;válido como MC prescribible;4567042;Discreta;1;5767855;comprimido;1;5767855;comprimido;0;;;;;;;"• cafeína ¦ 15 mg ¦ 0  ¦ 2 ¦ Vigente• ácido acetilsalicílico ¦ 400 mg ¦ 0  ¦ 1 ¦ Vigente";;;;;
