CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO;SCT_ID;SCT_TERMINO;DCI_DID;DCI_TERMINO;GRUPOS_JERARQUICOS;RIESGO_TERATOGENICO
5153841;bicalutamida;;Insensible;Manual;Vigente;Si;;bicalutamida;;386908000;bicalutamida;7021;bicalutamida;;X
5153844;bicarbonato de sodio;;Insensible;Manual;Vigente;Si;;bicarbonato de sodio;;387319002;bicarbonato de sodio;;;;
5153850;bifonazol;;Insensible;Manual;Vigente;Si;;bifonazol;;396036005;bifonazol;4887;bifonazol;;C
7624363;bifosfato de potasio;;Insensible;Manual;Vigente;;;;;;;;;;
5153856;bifosfato de sodio;;Insensible;Manual;Vigente;Si;;;;;;;;;
6347339;bilastina;;Insensible;Manual;Vigente;Si;;bilastina;;697973006;bilastina;7905;bilastina;;
6573102;bilis desecada;;Insensible;Manual;Vigente;Si;;;;;;;;;
5153861;bimatoprost;;Insensible;Manual;Vigente;Si;;bimatoprost;;129492005;bimatoprost;8035;bimatoprost;;C
5162533;bis glicinato ferroso;;Insensible;Manual;Vigente;Si;;;;;;;;;
5153875;bisacodilo;;Insensible;Manual;Vigente;Si;;bisacodilo;;387075009;bisacodilo;824;bisacodilo;;
5153885;bisoprolol;;Insensible;Manual;Vigente;Si;;bisoprolol;;386868003;bisoprolol;5225;bisoprolol;;C
5153890;bivalirudina;;Insensible;Manual;Vigente;Si;;bivalirudina;;129498009;bivalirudina;7282;bivalirudina;;
5153894;bleomicina;;Insensible;Manual;Vigente;Si;;bleomicina;;372843005;bleomicina;2721;bleomicina;;D
7677091;Bordetella pertussis (acelular);;Insensible;Manual;Vigente;;;;;;;;;;
5153909;bortezomib;;Insensible;Manual;Vigente;Si;;bortezomib;;407097007;bortezomib;8331;bortezomib;;D
6397977;bosentán;;Insensible;Manual;Vigente;Si;;bosentán;• 6397978 - BOSENTAN;385559004;bosentán;7195;bosentán;;X
5668509;brimonidina;;Insensible;Manual;Vigente;Si;;brimonidina;;372547000;brimonidina;6863;brimonidina;;B
5153915;brinzolamida;;Insensible;Manual;Vigente;Si;;brinzolamida;;386925003;brinzolamida;7532;brinzolamida;;
5153934;bromazepam;;Insensible;Manual;Vigente;Si;;bromazepam;;387571009;bromazepam;2692;bromazepam;;
5153945;bromhexina;;Insensible;Manual;Vigente;;;clorhidrato de bromhexina;;412102008;clorhidrato de bromhexina;2584;bromhexina;;
5153948;bromhidrato de glutamato de magnesio;;Insensible;Manual;Vigente;Si;;;;;;;;;
5153951;bromocriptina;;Insensible;Manual;Vigente;;;bromocriptina;;387039007;bromocriptina;3365;bromocriptina;;B
5153960;bromuro de ipratropio;;Insensible;Manual;Vigente;;;bromuro de ipratropio;;386881005;bromuro de ipratropio;3263;bromuro de ipratropio;;B
5154003;bromuro de pinaverio;;Insensible;Manual;Vigente;Si;;;;;;3696;bromuro de pinaverio;;
5154034;bromuro de piridostigmina;;Insensible;Manual;Vigente;;;bromuro de piridostigmina;;34915005;bromuro de piridostigmina;278;bromuro de piridostigmina;;C
5154037;bromuro de rocuronio;;Insensible;Manual;Vigente;;;bromuro de rocuronio;;108450002;bromuro de rocuronio;6864;bromuro de rocuronio;;B
5154042;bromuro de tiotropio;;Insensible;Manual;Vigente;Si;;bromuro de tiotropio;;425812008;bromuro de tiotropio;6965;bromuro de tiotropio;;
5154044;bromuro de vecuronio;;Insensible;Manual;Vigente;;;bromuro de vecuronio;;87472002;bromuro de vecuronio;5100;bromuro de vecuronio;;C
5154051;brotizolam;;Insensible;Manual;Vigente;Si;;;;;;4549;brotizolam;;
5154054;budesonida;;Insensible;Manual;Vigente;;;budesonida;;395726003;budesonida;4145;budesónida;;C
5154064;bupivacaína;;Insensible;Manual;Vigente;Si;;bupivacaína;;387150008;bupivacaína;2279;bupivacaína;;
5154071;buprenorfina;;Insensible;Manual;Vigente;;;buprenorfina;;387173000;buprenorfina;3403;buprenorfina;;C
5154076;bupropión;;Insensible;Manual;Vigente;;;bupropión;;387564004;bupropión;3562;bupropión;;B
5154081;buspirona;;Insensible;Manual;Vigente;;;buspirona;;387523009;buspirona;3456;buspirona;;B
5154100;busulfano;;Insensible;Manual;Vigente;;;busulfano;;387138002;busulfano;564;busulfano;;D
5154102;butilescopolamina bromuro;;Insensible;Manual;Vigente;;;;"• 7126066 - butilbromuro de escopolamina
• 7117572 - butilbromuro de hioscina";;;;;;C
5154114;cabazitaxel;;Insensible;Manual;Vigente;Si;;cabazitaxel;;446706007;cabazitaxel;8967;cabazitaxel;;D
5154128;cabergolina;;Insensible;Manual;Vigente;;;cabergolina;;386979007;cabergolina;5860;cabergolina;;B
5154129;cafeína;;Insensible;Manual;Vigente;;;cafeína;;255641001;cafeína;;;;
6398041;calamina;;Insensible;Manual;Vigente;;;calamina;;387082008;calamina;;;;
5154135;calcio;;Insensible;Manual;Vigente;Si;;calcio;;5540006;calcio;;;;
5154152;calcipotriol;;Insensible;Manual;Vigente;Si;;calcipotriol;;395766004;calcipotriol;6376;calcipotriol;;
5154162;calcitriol;;Insensible;Manual;Vigente;Si;;Calcitriol;"• 6412270 - 1 , 25 OH vitamina D3
• 6412271 - 1, 25 - dihidroxivitamina D3";259333003;Calcitriol;4393;calcitriol;;C
6398066;canagliflozina;;Insensible;Manual;Vigente;Si;;;;;;9225;canagliflozina;;C
5154217;candesartán;;Insensible;Manual;Vigente;;;candesartán;;372512008;candesartán;7239;candesartán;;D
5154222;capecitabina;;Insensible;Manual;Vigente;Si;;capecitabina;;386906001;capecitabina;7317;capecitabina;;D
5154227;capsaicina;;Insensible;Manual;Vigente;Si;;capsaicina;;95995002;capsaicina;;;;
5154238;captopril;;Insensible;Manual;Vigente;Si;;captopril;;387160004;captopril;4373;captopril;;D
5154247;carbamazepina;;Insensible;Manual;Vigente;Si;;carbamazepina;;387222003;carbamazepina;1836;carbamazepina;;D
5154254;carbetocina;;Insensible;Manual;Vigente;Si;;carbetocina;;425003007;carbetocina;5014;carbetocina;;
5154256;carbidopa;;Insensible;Manual;Vigente;Si;;carbidopa;;73579000;carbidopa;3258;carbidopa;;C
5154263;carbinoxamina;;Insensible;Manual;Vigente;Si;;;;;;359;carbinoxamina;;C
5154265;carbocisteína;;Insensible;Manual;Vigente;Si;;carbocisteína;;395842001;carbocisteína;2884;carbocisteína;;
6176149;carbomer;;Insensible;Manual;Vigente;;;;;;;2599;carbómero;;
5154287;carbón activado;;Insensible;Manual;Vigente;Si;;carbón activado;;32519007;carbón activado;;;;
5154289;carbonato de calcio;;Insensible;Manual;Vigente;Si;;carbonato de calcio;;387307005;carbonato de calcio;;;;
5154294;carbonato de litio;;Insensible;Manual;Vigente;Si;;carbonato de litio;;387095003;carbonato de litio;;;;D
7412451;carbonato de magnesio;;Insensible;Manual;Vigente;;;;;;;;;;
7469532;carbonato de sodio;;Insensible;Manual;Vigente;;;;;;;;;;
5154300;carboplatino;;Insensible;Manual;Vigente;Si;;carboplatino;;386905002;carboplatino;5231;carboplatino;;
6572177;carboximaltosa férrica;;Insensible;Manual;Vigente;Si;;carboximaltosa férrica;;430077004;carboximaltosa férrica;8853;carboximaltosa férrica;;C
5154303;carboximetilcelulosa;;Insensible;Manual;Vigente;Si;;carboximetilcelulosa;;419432008;carboximetilcelulosa;;;;
5154332;carvedilol;;Insensible;Manual;Vigente;Si;;carvedilol;;386870007;carvedilol;5333;carvedilol;;C
5154350;caspofungina;;Insensible;Manual;Vigente;Si;;caspofungina;• 6398086 - CASPOFUNGIN;413770001;caspofungina;7778;caspofungina;;C
5154354;cassia angustifolia extracto estandarizado;;Insensible;Manual;Vigente;Si;;;;;;;;;
5154370;cefadroxilo;;Insensible;Manual;Vigente;Si;;cefadroxilo;;372651006;cefadroxilo;3719;cefadroxilo;;B
5154376;cefalexina;;Insensible;Manual;Vigente;Si;;cefalexina;;387304003;cefalexina;2400;cefalexina;;B
5154386;cefazolina;;Insensible;Manual;Vigente;;;cefazolina;;387470007;cefazolina;2991;cefazolina;;B
5154392;cefepima;;Insensible;Manual;Vigente;Si;;cefepima;• 6450878 - cefepima;96048006;cefepima;6092;cefepima;;
5154428;cefixima;;Insensible;Manual;Vigente;;;cefixima;;387536009;cefixima;5678;cefixima;;B
5154442;cefoperazona;;Insensible;Manual;Vigente;Si;;cefoperazona;;372743004;cefoperazona;4742;cefoperazona;;B
5163094;cefotaxima;;Insensible;Manual;Vigente;;;cefotaxima;;372704003;cefotaxima;4504;cefotaxima;;B
5163130;cefpodoxima;;Insensible;Manual;Vigente;;;cefpodoxima;;387534007;cefpodoxima;6123;cefpodoxima;;B
5163141;cefradina;;Insensible;Manual;Vigente;;;cefradina;;387091007;cefradina;3119;cefradina;;B
5163151;ceftazidima;;Insensible;Manual;Vigente;;;ceftazidima;;387200005;ceftazidima;4886;ceftazidima;;B
6398127;ceftriaxona;;Insensible;Manual;Vigente;;;ceftriaxona;;372670001;ceftriaxona;4923;ceftriaxona;;B
5163157;cefuroxima;;Insensible;Manual;Vigente;;;cefuroxima;;372833007;cefuroxima;3902;cefuroxima;;B
5163177;celecoxib;;Insensible;Manual;Vigente;;;Celecoxib;;116081000;Celecoxib;7767;celecoxib;;D
5163196;centella asiática;;Insensible;Manual;Vigente;Si;;;;;;;;;
6398265;cerebrolysin;;Insensible;Manual;Vigente;Si;;;;;;;;;
7221937;ceritinib;;Insensible;Manual;Vigente;;;ceritinib;;703146007;ceritinib;9817;ceritinib;;D
5163331;cetirizina;;Insensible;Manual;Vigente;;;cetirizina;;372523007;cetirizina;5520;cetirizina;;B
5163357;cetrorelix;;Insensible;Manual;Vigente;Si;;cetrorelix;;395906005;cetrorelix;6661;cetrorelix;;X
5163407;cetuximab;;Insensible;Manual;Vigente;;;cetuximab;;409400001;cetuximab;7906;cetuximab;;C
5198521;cianocobalamina;;Insensible;Manual;Vigente;;;cianocobalamina;• 6412305 - vitamina B12;419382002;cianocobalamina;1369;cianocobalamina;;A
5163672;ciclesonida;;Insensible;Manual;Vigente;Si;;ciclesonida;;417420004;ciclesonida;6546;ciclesonida;;C
