CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT ID;SCT TERMINO;DCI DID;DCI TERMINO;SINONIMO;GRUPOS_JERARQUICOS;SUSTANCIAS
5408523;ácido ascórbico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente
5409839;ácido ascórbico + ácido fólico + cianocobalamina + fumarato ferroso;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 4930164 ¦ fumarato ferroso ¦ 4 ¦ Vigente
• 5198521 ¦ cianocobalamina ¦ 3 ¦ Vigente
• 4847883 ¦ ácido fólico ¦ 2 ¦ Vigente
• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente"
6908931;ácido ascórbico + ácido fólico + cianocobalamina + sulfato ferroso;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente
• 4847883 ¦ ácido fólico ¦ 2 ¦ Vigente
• 5198521 ¦ cianocobalamina ¦ 3 ¦ Vigente
• 5162570 ¦ sulfato ferroso ¦ 4 ¦ Vigente"
7495476;ácido ascórbico + alfa tocoferol + retinol + zinc;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente
• 4856627 ¦ alfa tocoferol ¦ 2 ¦ Vigente
• 5201382 ¦ retinol ¦ 3 ¦ Vigente
• 6398187 ¦ zinc ¦ 4 ¦ Vigente"
7353840;ácido ascórbico + cafeína + clorfenamina + noscapina + paracetamol;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente
• 5154129 ¦ cafeína ¦ 2 ¦ Vigente
• 5199623 ¦ clorfenamina ¦ 3 ¦ Vigente
• 5112882 ¦ noscapina ¦ 4 ¦ Vigente
• 5166991 ¦ paracetamol ¦ 5 ¦ Vigente"
7353921;ácido ascórbico + cafeína + noscapina + paracetamol;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente
• 5154129 ¦ cafeína ¦ 2 ¦ Vigente
• 5112882 ¦ noscapina ¦ 3 ¦ Vigente
• 5166991 ¦ paracetamol ¦ 4 ¦ Vigente"
5409938;ácido ascórbico + calcio + magnesio;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5206067 ¦ magnesio ¦ 3 ¦ Vigente
• 5154135 ¦ calcio ¦ 2 ¦ Vigente
• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente"
7495218;ácido ascórbico + carbonato de calcio + colecalciferol + fosfato de calcio;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente
• 5154289 ¦ carbonato de calcio ¦ 2 ¦ Vigente
• 5201981 ¦ colecalciferol ¦ 3 ¦ Vigente
• 6398048 ¦ fosfato de calcio ¦ 4 ¦ Vigente"
5409784;ácido ascórbico + colecalciferol + retinol;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5201382 ¦ retinol ¦ 3 ¦ Vigente
• 5201981 ¦ colecalciferol ¦ 2 ¦ Vigente
• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente"
7388830;ácido ascórbico + ergocalciferol + retinol;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 5201382 ¦ retinol ¦ 3 ¦ Vigente
• 4829881 ¦ ergocalciferol ¦ 2 ¦ Vigente
• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente"
5410023;ácido ascórbico + magnesio;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5206067 ¦ magnesio ¦ 2 ¦ Vigente
• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente"
5410177;ácido ascórbico + noscapina + paracetamol + pseudoefedrina clorhidrato;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5975242 ¦ pseudoefedrina clorhidrato ¦ 4 ¦ Vigente
• 5166991 ¦ paracetamol ¦ 3 ¦ Vigente
• 5112882 ¦ noscapina ¦ 2 ¦ Vigente
• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente"
5503594;ácido ascórbico + zinc;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 6398187 ¦ zinc ¦ 2 ¦ Vigente
• 4846670 ¦ ácido ascórbico ¦ 1 ¦ Vigente"
5410209;ácido bórico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4846744 ¦ ácido bórico ¦ 1 ¦ Vigente
7428272;ácido bórico + clorocresol + óxido de zinc;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4846744 ¦ ácido bórico ¦ 1 ¦ Vigente
• 7428262 ¦ clorocresol ¦ 2 ¦ Vigente
• 6398192 ¦ óxido de zinc ¦ 3 ¦ Vigente"
7469538;ácido cítrico + bicarbonato de sodio + carbonato de sodio;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4847221 ¦ ácido cítrico ¦ 1 ¦ Vigente
• 5153844 ¦ bicarbonato de sodio ¦ 2 ¦ Vigente
• 7469532 ¦ carbonato de sodio ¦ 3 ¦ Vigente"
7610602;ácido cítrico + citrato de potasio;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4847221 ¦ ácido cítrico ¦ 1 ¦ Vigente
• 5198690 ¦ citrato de potasio ¦ 2 ¦ Vigente"
5494918;ácido cítrico + citrato de potasio + citrato de sodio;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5198690 ¦ citrato de potasio ¦ 2 ¦ Vigente
• 5198687 ¦ citrato de sodio ¦ 3 ¦ Vigente
• 4847221 ¦ ácido cítrico ¦ 1 ¦ Vigente"
7616842;ácido cítrico + óxido de magnesio + picosulfato de sodio;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4847221 ¦ ácido cítrico ¦ 1 ¦ Vigente
• 6448117 ¦ óxido de magnesio ¦ 2 ¦ Vigente
• 5159269 ¦ picosulfato de sodio ¦ 3 ¦ Vigente"
7332613;ácido cromoglícico;;Vigente;Insensible;Autogenerado;;;;;;;;;• 6398327 ¦ ácido cromoglícico ¦ 1 ¦ Vigente
5410626;ácido dehidrocólico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4847437 ¦ ácido dehidrocólico ¦ 1 ¦ Vigente
5494403;ácido docosahexaenoico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4847639 ¦ ácido docosahexaenoico ¦ 1 ¦ Vigente
5494437;ácido docosahexaenoico + ácido eicosapentaenoico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 4930258 ¦ ácido eicosapentaenoico ¦ 2 ¦ Vigente
• 4847639 ¦ ácido docosahexaenoico ¦ 1 ¦ Vigente"
7500614;ácido docosahexaenoico + ácido fólico;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4847639 ¦ ácido docosahexaenoico ¦ 1 ¦ Vigente
• 4847883 ¦ ácido fólico ¦ 2 ¦ Vigente"
5494438;ácido fólico;;Vigente;Insensible;Autogenerado;Si;;6247001;ácido fólico;;;;;• 4847883 ¦ ácido fólico ¦ 1 ¦ Vigente
6455903;ácido fólico + bis glicinato ferroso;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 5162533 ¦ bis glicinato ferroso ¦ 2 ¦ Vigente
• 4847883 ¦ ácido fólico ¦ 1 ¦ Vigente"
7491739;ácido fólico + cianocobalamina;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4847883 ¦ ácido fólico ¦ 1 ¦ Vigente
• 5198521 ¦ cianocobalamina ¦ 2 ¦ Vigente"
5494939;ácido fólico + cianocobalamina + polimaltosa férrica;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5162564 ¦ polimaltosa férrica ¦ 3 ¦ Vigente
• 5198521 ¦ cianocobalamina ¦ 2 ¦ Vigente
• 4847883 ¦ ácido fólico ¦ 1 ¦ Vigente"
5494452;ácido fólico + sulfato ferroso;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5162570 ¦ sulfato ferroso ¦ 2 ¦ Vigente
• 4847883 ¦ ácido fólico ¦ 1 ¦ Vigente"
5494461;ácido fusídico;;Vigente;Insensible;Autogenerado;Si;;96015006;ácido fusídico;;;;• 7436222 - Antibiótico;• 4849436 ¦ ácido fusídico ¦ 1 ¦ Vigente
5494463;ácido fusídico + betametasona valerato;;Vigente;Insensible;Autogenerado;Si;;;;;;;• 7436222 - Antibiótico;"• 7229764 ¦ betametasona valerato ¦ 2 ¦ Vigente
• 4849436 ¦ ácido fusídico ¦ 1 ¦ Vigente"
5499967;ácido fusídico + hidrocortisona acetato;;Vigente;Insensible;Autogenerado;Si;;;;;;;• 7436222 - Antibiótico;"• 7230568 ¦ hidrocortisona acetato ¦ 2 ¦ Vigente
• 4849436 ¦ ácido fusídico ¦ 1 ¦ Vigente"
7679298;ácido gadotérico;;Vigente;Insensible;Autogenerado;;;;;;;;;• 7679293 ¦ ácido gadotérico ¦ 1 ¦ Vigente
5494491;ácido gamma amino beta hidroxibutírico + ácido gamma aminobutírico + bromhidrato de glutamato de magnesio + piridoxina;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5166963 ¦ piridoxina ¦ 4 ¦ Vigente
• 5153948 ¦ bromhidrato de glutamato de magnesio ¦ 3 ¦ Vigente
• 4930292 ¦ ácido gamma aminobutírico ¦ 2 ¦ Vigente
• 4849554 ¦ ácido gamma amino beta hidroxibutírico ¦ 1 ¦ Vigente"
5500066;ácido gamma aminobutírico + hematoporfirina + procaína;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5167538 ¦ procaína ¦ 3 ¦ Vigente
• 4933444 ¦ hematoporfirina ¦ 2 ¦ Vigente
• 4930292 ¦ ácido gamma aminobutírico ¦ 1 ¦ Vigente"
7523698;ácido glutámico + glutamato de sodio + piridoxina;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 6399530 ¦ ácido glutámico ¦ 1 ¦ Vigente
• 6402287 ¦ glutamato de sodio ¦ 2 ¦ Vigente
• 5166963 ¦ piridoxina ¦ 3 ¦ Vigente"
7438694;ácido glutámico + piridoxina;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 6399530 ¦ ácido glutámico ¦ 1 ¦ Vigente
• 5166963 ¦ piridoxina ¦ 2 ¦ Vigente"
5494512;ácido hialurónico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4850398 ¦ ácido hialurónico ¦ 1 ¦ Vigente
5494519;ácido ibandrónico;;Vigente;Insensible;Autogenerado;Si;;395271007;ácido ibandrónico;;;;;• 4850508 ¦ ácido ibandrónico ¦ 1 ¦ Vigente
7464776;ácido ibandrónico y carbonato de calcio + colecalciferol;;Vigente;Insensible;Manual;;;;;;;;;"• 4850508 ¦ ácido ibandrónico ¦ 1 ¦ Vigente
• 5154289 ¦ carbonato de calcio ¦ 2 ¦ Vigente
• 5201981 ¦ colecalciferol ¦ 3 ¦ Vigente"
5494525;ácido láctico + ácido salicílico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 4854760 ¦ ácido salicílico ¦ 2 ¦ Vigente
• 4850581 ¦ ácido láctico ¦ 1 ¦ Vigente"
5494529;ácido mefenámico;;Vigente;Insensible;Autogenerado;Si;;34364009;ácido mefenámico;;;;;• 4850677 ¦ ácido mefenámico ¦ 1 ¦ Vigente
5494530;ácido micofenólico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4850758 ¦ ácido micofenólico ¦ 1 ¦ Vigente
5494539;ácido nicotínico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4850930 ¦ ácido nicotínico ¦ 1 ¦ Vigente
5535396;ácido pamidrónico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4930349 ¦ ácido pamidrónico ¦ 1 ¦ Vigente
5494541;ácido para aminobenzoico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4930382 ¦ ácido para aminobenzoico ¦ 1 ¦ Vigente
5494548;ácido pipemídico;;Vigente;Insensible;Autogenerado;Si;;702807004;ácido pipemídico;;;;• 7436222 - Antibiótico;• 4852185 ¦ ácido pipemídico ¦ 1 ¦ Vigente
5667786;ácido risedrónico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4854729 ¦ ácido risedrónico ¦ 1 ¦ Vigente
5494550;ácido salicílico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4854760 ¦ ácido salicílico ¦ 1 ¦ Vigente
7431128;ácido salicílico + alquitrán de hulla;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4854760 ¦ ácido salicílico ¦ 1 ¦ Vigente
• 6398230 ¦ alquitrán de hulla ¦ 2 ¦ Vigente"
5494559;ácido salicílico + betametasona dipropionato;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5153737 ¦ betametasona dipropionato ¦ 2 ¦ Vigente
• 4854760 ¦ ácido salicílico ¦ 1 ¦ Vigente"
5494560;ácido tranexámico;;Vigente;Insensible;Autogenerado;Si;;109006003;ácido tranexámico;;;;;• 4854811 ¦ ácido tranexámico ¦ 1 ¦ Vigente
7405939;ácido undecilénico;;Vigente;Insensible;Autogenerado;;;;;;;;;• 6403019 ¦ ácido undecilénico ¦ 1 ¦ Vigente
5494563;ácido ursodeoxicólico;;Vigente;Insensible;Autogenerado;Si;;108669000;ursodiol;;;;;• 4854881 ¦ ácido ursodeoxicólico ¦ 1 ¦ Vigente
5494564;ácido valproico;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4854948 ¦ ácido valproico ¦ 1 ¦ Vigente
5494566;ácido zoledrónico;;Vigente;Insensible;Autogenerado;Si;;134600006;ácido zoledrónico;;;;;• 4855042 ¦ ácido zoledrónico ¦ 1 ¦ Vigente
7297718;ácido 5 - aminolevulínico;;Vigente;Insensible;Autogenerado;;;409398000;ácido 5-aminolevulínico;;;;;• 4842161 ¦ ácido 5 - aminolevulínico ¦ 1 ¦ Vigente
5494596;acipimox;;Vigente;Insensible;Autogenerado;Si;;319982006;acipimox;;;;;• 4855333 ¦ acipimox ¦ 1 ¦ Vigente
5494600;acitretina;;Vigente;Insensible;Autogenerado;Si;;108914001;acitretina;;;;;• 4855394 ¦ acitretina ¦ 1 ¦ Vigente
5494612;adalimumab;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4855443 ¦ adalimumab ¦ 1 ¦ Vigente
5494613;adapaleno;;Vigente;Insensible;Autogenerado;Si;;108903004;adapaleno;;;;;• 4855576 ¦ adapaleno ¦ 1 ¦ Vigente
6432629;adenosina;;Vigente;Insensible;Autogenerado;Si;;108502004;adenosina;;;;;• 4932200 ¦ adenosina ¦ 1 ¦ Vigente
5494576;adifenina + propifenazona;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 4855653 ¦ adifenina ¦ 1 ¦ Vigente
• 5166814 ¦ propifenazona ¦ 2 ¦ Vigente"
7224400;afatinib;;Vigente;Insensible;Autogenerado;;;;;;;;;• 7224398 ¦ afatinib ¦ 1 ¦ Vigente
7239963;aflibercept;;Vigente;Insensible;Autogenerado;;;;;;;;;• 6397723 ¦ aflibercept ¦ 1 ¦ Vigente
7289558;agalsidasa beta;;Vigente;Insensible;Autogenerado;;;;;;;;;• 6397729 ¦ agalsidasa beta ¦ 1 ¦ Vigente
5494625;agomelatina;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4855711 ¦ agomelatina ¦ 1 ¦ Vigente
5494631;agua bidestilada;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4855740 ¦ agua bidestilada ¦ 1 ¦ Vigente
5494637;agua oxigenada;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4855893 ¦ agua oxigenada ¦ 1 ¦ Vigente
7146744;alantoína + betaína + fluoruro sódico + xilitol;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 6403052 ¦ xilitol ¦ 4 ¦ Vigente
• 4928847 ¦ fluoruro sódico ¦ 3 ¦ Vigente
• 6397943 ¦ betaína ¦ 2 ¦ Vigente
• 4856016 ¦ alantoína ¦ 1 ¦ Vigente"
5494767;alantoína + cloruro de cetilpiridinio;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5200592 ¦ cloruro de cetilpiridinio ¦ 2 ¦ Vigente
• 4856016 ¦ alantoína ¦ 1 ¦ Vigente"
5494800;alantoína + cloruro de cetilpiridinio + noscapina;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5112882 ¦ noscapina ¦ 3 ¦ Vigente
• 5200592 ¦ cloruro de cetilpiridinio ¦ 2 ¦ Vigente
• 4856016 ¦ alantoína ¦ 1 ¦ Vigente"
5494804;albendazol;;Vigente;Insensible;Autogenerado;Si;;96119002;albendazol;;;;;• 4856065 ¦ albendazol ¦ 1 ¦ Vigente
5494810;albúmina humana;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4856115 ¦ albúmina humana ¦ 1 ¦ Vigente
6507739;alcaftadina;;Vigente;Insensible;Manual;Si;No;447209009;alcaftadina;;;;;• 6397731 ¦ alcaftadina ¦ 1 ¦ Vigente
7591896;alcanfor;;Vigente;Insensible;Autogenerado;;;;;;;;;• 4856182 ¦ alcanfor ¦ 1 ¦ Vigente
7403749;alcanfor + benzocaína + mentol + triclosán;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4856182 ¦ alcanfor ¦ 1 ¦ Vigente
• 5153711 ¦ benzocaína ¦ 2 ¦ Vigente
• 6401777 ¦ mentol ¦ 3 ¦ Vigente
• 6402985 ¦ triclosán ¦ 4 ¦ Vigente"
7373059;alcanfor + eucaliptol + mentol;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4856182 ¦ alcanfor ¦ 1 ¦ Vigente
• 6401777 ¦ mentol ¦ 3 ¦ Vigente
• 6399378 ¦ eucaliptol ¦ 2 ¦ Vigente"
5494817;alcanfor + fenol;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4907321 ¦ fenol ¦ 2 ¦ Vigente
• 4856182 ¦ alcanfor ¦ 1 ¦ Vigente"
7405641;alcanfor + mentol;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4856182 ¦ alcanfor ¦ 1 ¦ Vigente
• 6401777 ¦ mentol ¦ 2 ¦ Vigente"
7526785;alcanfor + mentol + salicilato de metilo;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4856182 ¦ alcanfor ¦ 1 ¦ Vigente
• 6401777 ¦ mentol ¦ 2 ¦ Vigente
• 6401814 ¦ salicilato de metilo ¦ 3 ¦ Vigente"
7356314;alcohol bencílico + benzocaína;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 6397738 ¦ alcohol bencílico ¦ 1 ¦ Vigente
• 5153711 ¦ benzocaína ¦ 2 ¦ Vigente"
5494834;alfa tocoferol;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4856627 ¦ alfa tocoferol ¦ 1 ¦ Vigente
7500879;alfa tocoferol + piridoxina + retinol + ubidecarenona;;Vigente;Insensible;Autogenerado;;;;;;;;;"• 4856627 ¦ alfa tocoferol ¦ 1 ¦ Vigente
• 5166963 ¦ piridoxina ¦ 2 ¦ Vigente
• 5201382 ¦ retinol ¦ 3 ¦ Vigente
• 7500654 ¦ ubidecarenona ¦ 4 ¦ Vigente"
7431214;alfatradiol;;Vigente;Insensible;Autogenerado;;;;;;;;;• 7431203 ¦ alfatradiol ¦ 1 ¦ Vigente
5494845;alfentanilo;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4930387 ¦ alfentanilo ¦ 1 ¦ Vigente
5494847;alfuzosina;;Vigente;Insensible;Autogenerado;Si;;;;;;;;• 4930413 ¦ alfuzosina ¦ 1 ¦ Vigente
5494860;alginato de sodio + bicarbonato de sodio + carbonato de calcio;;Vigente;Insensible;Autogenerado;Si;;;;;;;;"• 5154289 ¦ carbonato de calcio ¦ 3 ¦ Vigente
• 5153844 ¦ bicarbonato de sodio ¦ 2 ¦ Vigente
• 4930474 ¦ alginato de sodio ¦ 1 ¦ Vigente"
