CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO_FK;MEDICAMENTO_CLINICO_DESC;TIPO_FK;TIPO_DESC;CANTIDAD;UNIDAD_MEDIDA_CANTIDAD_FK;UNIDAD_MEDIDA_CANTIDAD_DESC;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_FK;PACK_MULTI_UNIDAD_DESC;VOLUMEN_TOTAL_CANTIDAD;VOLUMEN_TOTAL_UNIDAD_FK;VOLUMEN_TOTAL_UNIDAD_DESC
7523281;acetónido de fluocinolona 250 mcg/mL + lidocaína 20 mg/mL + neomicina 3,5 mg/mL + polimixina B 1000 UI/mL gotas óticas 1 frasco 5 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;7523224;acetónido de fluocinolona 250 mcg/mL + lidocaína 20 mg/mL + neomicina 3,5 mg/mL + polimixina B 1000 UI/mL gotas óticas;4589162;venta público;1;5767861;frasco;;;;5;7008554;mililitros
7100530;aciclovir 200 mg comprimido 24 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;54359;aciclovir 200 mg comprimido;4589162;venta público;24;6802296;comprimidos;;;;;;
7094736;aciclovir 200 mg comprimido 25 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;54359;aciclovir 200 mg comprimido;4589162;venta público;25;6802296;comprimidos;;;;;;
7320738;aciclovir 200 mg/5 mL suspensión oral 1 frasco 100 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;73944;aciclovir 200 mg/5 mL suspensión oral;4589162;venta público;1;5767861;frasco;;;;100;7008554;mililitros
7598335;aciclovir 250 mg inyectable 5 viales;;Vigente;Insensible;Autogenerado;;;;;;;7028370;aciclovir 250 mg inyectable;4589162;venta público;5;7218083;viales;;;;;;
7396451;aciclovir 250 mg/10 mL (25 mg/mL) inyectable 5 ampollas 10 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;620;aciclovir 250 mg/10 mL (25 mg/mL) inyectable;4589162;venta público;5;6802291;ampollas;;;;10;7008554;mililitros
7107961;aciclovir 3% (30 mg/g) ungüento oftálmico 1 frasco 3,5 gramos;;Vigente;Insensible;Autogenerado;;;;;;;316936;aciclovir 3% (30 mg/g) ungüento oftálmico;4589162;venta público;1;5767861;frasco;;;;3,5;7100992;gramos
7598302;aciclovir 3% (30 mg/g) ungüento oftálmico 1 pomo 4,5 gramos;;Vigente;Insensible;Autogenerado;;;;;;;316936;aciclovir 3% (30 mg/g) ungüento oftálmico;4589162;venta público;1;5912594;pomo;;;;4,5;7100992;gramos
7320706;aciclovir 400 mg comprimido 15 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;162358;aciclovir 400 mg comprimido;4589162;venta público;15;6802296;comprimidos;;;;;;
7320705;aciclovir 400 mg comprimido 3 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;162358;aciclovir 400 mg comprimido;4589162;venta público;3;6802296;comprimidos;;;;;;
7094781;aciclovir 400 mg comprimido 35 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;162358;aciclovir 400 mg comprimido;4589162;venta público;35;6802296;comprimidos;;;;;;
7320745;aciclovir 400 mg/5 mL suspensión oral 1 frasco 100 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;138578;aciclovir 400 mg/5 mL suspensión oral;4589162;venta público;1;5767861;frasco;;;;100;7008554;mililitros
7598282;aciclovir 5% (50 mg/g) crema 1 pomo 10 gramos;;Vigente;Insensible;Autogenerado;;;;;;;182321;aciclovir 5% (50 mg/g) crema;4589162;venta público;1;5912594;pomo;;;;10;7100992;gramos
7094544;aciclovir 5% (50 mg/g) crema 1 pomo 15 gramos;;Vigente;Insensible;Autogenerado;;;;;;;182321;aciclovir 5% (50 mg/g) crema;4589162;venta público;1;5912594;pomo;;;;15;7100992;gramos
7101001;aciclovir 5% (50 mg/g) crema 1 pomo 5 gramos;;Vigente;Insensible;Autogenerado;;;;;;;182321;aciclovir 5% (50 mg/g) crema;4589162;venta público;1;5912594;pomo;;;;5;7100992;gramos
7594636;aciclovir 5% (50 mg/g) ungüento 1 pomo 15 gramos;;Vigente;Insensible;Autogenerado;;;;;;;316939;aciclovir 5% (50 mg/g) ungüento;4589162;venta público;1;5912594;pomo;;;;15;7100992;gramos
7320830;aciclovir 500 mg inyectable 1 kit;;Vigente;Insensible;Autogenerado;;;;;;;261038;aciclovir 500 mg inyectable;4589162;venta público;1;5767867;kit;;;;;;
7396453;aciclovir 500 mg/20 mL (25 mg/mL) inyectable 6 ampollas 20 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;152072;aciclovir 500 mg/20 mL (25 mg/mL) inyectable;4589162;venta público;6;6802291;ampollas;;;;20;7008554;mililitros
7170343;aciclovir 800 mg comprimido 35 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;532503;aciclovir 800 mg comprimido;4589162;venta público;35;6802296;comprimidos;;;;;;
7320709;aciclovir 800 mg comprimido 5 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;532503;aciclovir 800 mg comprimido;4589162;venta público;5;6802296;comprimidos;;;;;;
7452133;ácido acetilsalicílico 100 mg + clopidogrel 75 mg comprimido 28 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;7452105;ácido acetilsalicílico 100 mg + clopidogrel 75 mg comprimido;4589162;venta público;28;6802296;comprimidos;;;;;;
6907790;ácido acetilsalicílico 100 mg comprimido 10 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;10;6802296;comprimidos;;;;;;
6907888;ácido acetilsalicílico 100 mg comprimido 100 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;100;6802296;comprimidos;;;;;;
7445354;ácido acetilsalicílico 100 mg comprimido 112 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;112;6802296;comprimidos;;;;;;
6907772;ácido acetilsalicílico 100 mg comprimido 20 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;20;6802296;comprimidos;;;;;;
6907782;ácido acetilsalicílico 100 mg comprimido 28 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;28;6802296;comprimidos;;;;;;
6908731;ácido acetilsalicílico 100 mg comprimido 30 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;30;6802296;comprimidos;;;;;;
6907795;ácido acetilsalicílico 100 mg comprimido 300 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;300;6802296;comprimidos;;;;;;
6907792;ácido acetilsalicílico 100 mg comprimido 40 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;40;6802296;comprimidos;;;;;;
6907765;ácido acetilsalicílico 100 mg comprimido 42 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;42;6802296;comprimidos;;;;;;
6907775;ácido acetilsalicílico 100 mg comprimido 50 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;50;6802296;comprimidos;;;;;;
6907785;ácido acetilsalicílico 100 mg comprimido 56 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;56;6802296;comprimidos;;;;;;
6907767;ácido acetilsalicílico 100 mg comprimido 98 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;103322;ácido acetilsalicílico 100 mg comprimido;4589162;venta público;98;6802296;comprimidos;;;;;;
7379206;ácido acetilsalicílico 250 mg + cafeína 65 mg + paracetamol 250 mg comprimido 10 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;7379190;ácido acetilsalicílico 250 mg + cafeína 65 mg + paracetamol 250 mg comprimido;4589162;venta público;10;6802296;comprimidos;;;;;;
7396463;ácido acetilsalicílico 250 mg + cafeína 65 mg + paracetamol 250 mg comprimido 12 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;7379190;ácido acetilsalicílico 250 mg + cafeína 65 mg + paracetamol 250 mg comprimido;4589162;venta público;12;6802296;comprimidos;;;;;;
7413880;ácido acetilsalicílico 300 mg + cafeína 45 mg + paracetamol 200 mg comprimido 8 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;7413865;ácido acetilsalicílico 300 mg + cafeína 45 mg + paracetamol 200 mg comprimido;4589162;venta público;8;6802296;comprimidos;;;;;;
7413218;ácido acetilsalicílico 324 mg + ácido cítrico 1223 mg + bicarbonato de sodio 1737 mg comprimido 10 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;7413209;ácido acetilsalicílico 324 mg + ácido cítrico 1223 mg + bicarbonato de sodio 1737 mg comprimido;4589162;venta público;10;6802296;comprimidos;;;;;;
6984686;ácido acetilsalicílico 325 mg comprimido 100 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;126043;ácido acetilsalicílico 325 mg comprimido;4589152;envase clínico;100;6802296;comprimidos;;;;;;
6984676;ácido acetilsalicílico 325 mg comprimido 20 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;126043;ácido acetilsalicílico 325 mg comprimido;4589162;venta público;20;6802296;comprimidos;;;;;;
7377236;ácido acetilsalicílico 325 mg comprimido 30 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;126043;ácido acetilsalicílico 325 mg comprimido;4589162;venta público;30;6802296;comprimidos;;;;;;
6984679;ácido acetilsalicílico 325 mg comprimido 60 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;126043;ácido acetilsalicílico 325 mg comprimido;4589162;venta público;60;6802296;comprimidos;;;;;;
7299201;ácido acetilsalicílico 340 mg + cafeína 35 mg + clorfenamina 2 mg cápsula 10 cápsulas;;Vigente;Insensible;Autogenerado;;;;;;;7299159;ácido acetilsalicílico 340 mg + cafeína 35 mg + clorfenamina 2 mg cápsula;4589162;venta público;10;6764541;cápsulas;;;;;;
7469638;ácido acetilsalicílico 400 mg + cafeína 15 mg oblea 100 obleas;;Vigente;Insensible;Autogenerado;;;;;;;5986647;ácido acetilsalicílico 400 mg + cafeína 15 mg oblea;4589162;venta público;100;7469654;obleas;;;;;;
7469644;ácido acetilsalicílico 400 mg + cafeína 15 mg oblea 200 obleas;;Vigente;Insensible;Autogenerado;;;;;;;5986647;ácido acetilsalicílico 400 mg + cafeína 15 mg oblea;4589162;venta público;200;7469654;obleas;;;;;;
7422459;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido 30 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1475467;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;4589162;venta público;30;6802296;comprimidos;;;;;;
7422449;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido 50 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1475467;ácido acetilsalicílico 400 mg + cafeína 32 mg comprimido;4589162;venta público;50;6802296;comprimidos;;;;;;
7377330;ácido acetilsalicílico 500 mg + ácido ascórbico 200 mg polvo para preparado oral 24 sobres;;Vigente;Insensible;Autogenerado;;;;;;;7377327;ácido acetilsalicílico 500 mg + ácido ascórbico 200 mg polvo para preparado oral;4589162;venta público;24;6802308;sobres;;;;;;
7377250;ácido acetilsalicílico 500 mg + cafeína 40 mg comprimido 100 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5987379;ácido acetilsalicílico 500 mg + cafeína 40 mg comprimido;4589162;venta público;100;6802296;comprimidos;;;;;;
7377247;ácido acetilsalicílico 500 mg + cafeína 40 mg comprimido 20 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5987379;ácido acetilsalicílico 500 mg + cafeína 40 mg comprimido;4589162;venta público;20;6802296;comprimidos;;;;;;
7377248;ácido acetilsalicílico 500 mg + cafeína 40 mg comprimido 40 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5987379;ácido acetilsalicílico 500 mg + cafeína 40 mg comprimido;4589162;venta público;40;6802296;comprimidos;;;;;;
6908743;ácido acetilsalicílico 500 mg comprimido 10 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;50115;ácido acetilsalicílico 500 mg comprimido;4589162;venta público;10;6802296;comprimidos;;;;;;
6908741;ácido acetilsalicílico 500 mg comprimido 100 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;50115;ácido acetilsalicílico 500 mg comprimido;4589162;venta público;100;6802296;comprimidos;;;;;;
6908739;ácido acetilsalicílico 500 mg comprimido 20 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;50115;ácido acetilsalicílico 500 mg comprimido;4589162;venta público;20;6802296;comprimidos;;;;;;
6908744;ácido acetilsalicílico 500 mg comprimido 200 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;50115;ácido acetilsalicílico 500 mg comprimido;4589162;venta público;200;6802296;comprimidos;;;;;;
6908740;ácido acetilsalicílico 500 mg comprimido 40 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;50115;ácido acetilsalicílico 500 mg comprimido;4589162;venta público;40;6802296;comprimidos;;;;;;
7376947;ácido acetilsalicílico 650 mg comprimido 20 comprimido;;Vigente;Insensible;Autogenerado;;;;;;;6406416;ácido acetilsalicílico 650 mg comprimido;4589162;venta público;20;5767855;comprimido;;;;;;
7376954;ácido acetilsalicílico 650 mg comprimido 40 comprimido;;Vigente;Insensible;Autogenerado;;;;;;;6406416;ácido acetilsalicílico 650 mg comprimido;4589162;venta público;40;5767855;comprimido;;;;;;
7376957;ácido acetilsalicílico 650 mg comprimido 80 comprimido;;Vigente;Insensible;Autogenerado;;;;;;;6406416;ácido acetilsalicílico 650 mg comprimido;4589162;venta público;80;5767855;comprimido;;;;;;
7379163;ácido acetilsalicílico 81 mg comprimido 30 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;777434;ácido acetilsalicílico 81 mg comprimido;4589162;venta público;30;6802296;comprimidos;;;;;;
7409119;ácido alendrónico 70 mg + colecalciferol 2800 UI comprimido 4 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;6471738;ácido alendrónico 70 mg + colecalciferol 2800 UI comprimido;4589162;venta público;4;6802296;comprimidos;;;;;;
7637233;ácido alendrónico 70 mg + colecalciferol 5600 UI comprimido 5 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;5987257;ácido alendrónico 70 mg + colecalciferol 5600 UI comprimido;4589162;venta público;5;6802296;comprimidos;;;;;;
7293943;ácido alendrónico 70 mg comprimido 10 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1411499;ácido alendrónico 70 mg comprimido;4589162;venta público;10;6802296;comprimidos;;;;;;
7320965;ácido alendrónico 70 mg comprimido 12 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1411499;ácido alendrónico 70 mg comprimido;4589162;venta público;12;6802296;comprimidos;;;;;;
7293984;ácido alendrónico 70 mg comprimido 15 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1411499;ácido alendrónico 70 mg comprimido;4589162;venta público;15;6802296;comprimidos;;;;;;
7293958;ácido alendrónico 70 mg comprimido 4 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1411499;ácido alendrónico 70 mg comprimido;4589162;venta público;4;6802296;comprimidos;;;;;;
7641878;ácido alendrónico 70 mg comprimido 4 comprimidos y carbonato de calcio 1289 mg (calcio 500 mg) + colecalciferol 400 UI comprimido 56 comprimidos 1 kit;;Vigente;Insensible;Manual;;;;;;;5986764;ácido alendrónico 70 mg comprimido y carbonato de calcio 1289 mg (calcio 500 mg) + colecalciferol 400 UI comprimido;4589162;venta público;1;5767867;kit;;;;;;
7293986;ácido alendrónico 70 mg comprimido 5 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1411499;ácido alendrónico 70 mg comprimido;4589162;venta público;5;6802296;comprimidos;;;;;;
7293959;ácido alendrónico 70 mg comprimido 8 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;1411499;ácido alendrónico 70 mg comprimido;4589162;venta público;8;6802296;comprimidos;;;;;;
7475952;ácido ascórbico + bifidobacterium lactis + lactobacillus casei comprimido 12 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;6354485;ácido ascórbico + bifidobacterium lactis + lactobacillus casei comprimido;4589162;venta público;12;6802296;comprimidos;;;;;;
7475925;ácido ascórbico + bifidobacterium lactis + lactobacillus casei comprimido 24 comprimidos;;Vigente;Insensible;Autogenerado;;;;;;;6354485;ácido ascórbico + bifidobacterium lactis + lactobacillus casei comprimido;4589162;venta público;24;6802296;comprimidos;;;;;;
7517583;ácido ascórbico 10% (100 mg/mL) gotas orales 1 frasco 30 mililitros;;Vigente;Insensible;Autogenerado;;;;;;;5987146;ácido ascórbico 10% (100 mg/mL) gotas orales;4589162;venta público;1;5767861;frasco;;;;30;7008554;mililitros
7479368;ácido ascórbico 100 mg + ácido fólico 2 mg + cianocobalamina 1 mg + fumarato ferroso 330 mg (hierro 109 mg) cápsula liberación modificada 30 cápsulas;;Vigente;Insensible;Autogenerado;;;;;;;7479355;ácido ascórbico 100 mg + ácido fólico 2 mg + cianocobalamina 1 mg + fumarato ferroso 330 mg (hierro 109 mg) cápsula liberación modificada;4589162;venta público;30;6764541;cápsulas;;;;;;
7499657;ácido ascórbico 100 mg + ácido fólico 2 mg + cianocobalamina 1 mg + fumarato ferroso 330 mg (hierro 109 mg) cápsula liberación modificada 60 cápsulas;;Vigente;Insensible;Autogenerado;;;;;;;7479355;ácido ascórbico 100 mg + ácido fólico 2 mg + cianocobalamina 1 mg + fumarato ferroso 330 mg (hierro 109 mg) cápsula liberación modificada;4589162;venta público;60;6764541;cápsulas;;;;;;
