CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;MEDICAMENTO_CLINICO;LABORATORIO_FK;LABORATORIO_DESC;FORM_FARM_EXT_FK;FORM_FARM_EXT_DESC;SABOR_FK;SABOR_DESC;FAMILIA_PRODUCTO_FK;FAMILIA_PRODUCTO_DESC;COMERCIALIZADO_CHILE_FK;COMERCIALIZADO_CHILE_DESC;PRODUCTO_ISP;BIOEQUIVALENTES
7200133;abilify 20 mg comprimido (B-MS);;Vigente;Sensible;Manual;;;;;;;• aripiprazol 20 mg comprimido;6405931;Bristol-Myers Squibb;5723406;comprimido;;;6476976;abilify;4567040;Si;• F-14395/09 - ABILIFY COMPRIMIDOS 20 mg;
7199852;abilify 30 mg comprimido (B-MS);;Vigente;Sensible;Manual;;;;;;;• aripiprazol 30 mg comprimido;6405931;Bristol-Myers Squibb;5723406;comprimido;;;6476976;abilify;4567040;Si;• F-14396/09 - ABILIFY COMPRIMIDOS 30 mg;• F-22460/16 - AZDIR COMPRIMIDOS 30 mg (Aripiprazol)
7199733;abilify 5 mg comprimido (B-MS);;Vigente;Sensible;Manual;;;;;;;• aripiprazol 5 mg comprimido;6405931;Bristol-Myers Squibb;5723406;comprimido;;;6476976;abilify;4567040;Si;• F-14392/09 - ABILIFY COMPRIMIDOS 5 mg;"• F-18468/16 - AZYMOL COMPRIMIDOS 5 mg• F-22474/16 - AZDIR COMPRIMIDOS 5 mg"
5988933;abiolex 1 g comprimido dispersable (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• amoxicilina 1000 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723458;comprimido dispersable;;;6628835;abiolex;4567040;Si;• F-14060/14 - ABIOLEX COMPRIMIDOS DISPERSABLES 1 g;
5987797;abiostal ODT comprimido dispersable (Drugtech);;Vigente;Sensible;Manual;;;;;;;• naratriptán 2,5 mg comprimido;5970334;Drugtech División (Recalcine);5723458;comprimido dispersable;;;6556997;abiostal ODT;4567040;Si;"• F-18425/10 - ABIOSTAL ODT COMPRIMIDOS DISPERSABLES 2,5 mg• F-18425/15 - ABIOSTAL ODT COMPRIMIDOS DISPERSABLES 2,5 mg";
7229578;abraxane polvo liofilizado para suspensión inyectable (Celgene);;Vigente;Sensible;Manual;;;;;;;• paclitaxel unido a albúmina 100 mg inyectable;7223389;Celgene Europe Limited UK Importado (Tecnofarma);5733519;polvo liofilizado para suspensión inyectable;;;7229524;abraxane;4567040;Si;• F-21156/14 - ABRAXANE LIOFILIZADO PARA SUSPENSIÓN INYECTABLE 100 mg;
5988234;abretia 10 cápsula (Roemmers);;Vigente;Sensible;Manual;;;;;;;• atomoxetina 10 mg cápsula;7188253;Laboratorios Roemmers S. A. Importado (Pharma Investi);5722208;cápsula;;;7188199;abretia;4567040;Si;• F-16257/12 - ABRETIA 10 CÁPSULAS 10 mg;
7188208;abretia 18 cápsula (Roemmers);;Vigente;Sensible;Manual;;;;;;;• atomoxetina 18 mg cápsula;7188253;Laboratorios Roemmers S. A. Importado (Pharma Investi);5722208;cápsula;;;7188199;abretia;4567040;Si;• F-16256/12 - ABRETIA 18 CÁPSULAS 18 mg;
7188209;abretia 25 cápsula (Roemmers);;Vigente;Sensible;Manual;;;;;;;• atomoxetina 25 mg cápsula;7188253;Laboratorios Roemmers S. A. Importado (Pharma Investi);5722208;cápsula;;;7188199;abretia;4567040;Si;• F-16255/12 - ABRETIA 25 CÁPSULAS 25 mg;
7188213;abretia 40 cápsula (Roemmers);;Vigente;Sensible;Manual;;;;;;;• atomoxetina 40 mg cápsula;7188253;Laboratorios Roemmers S. A. Importado (Pharma Investi);5722208;cápsula;;;7188199;abretia;4567040;Si;• F-16254/12 - ABRETIA 40 CÁPSULAS 40 mg;
7188262;abretia 60 cápsula (Roemmers);;Vigente;Sensible;Manual;;;;;;;• atomoxetina 60 mg cápsula;7188253;Laboratorios Roemmers S. A. Importado (Pharma Investi);5722208;cápsula;;;7188199;abretia;4567040;Si;• F-16253/12 - ABRETIA 60 CÁPSULAS 60 mg;
7517865;abrielix jarabe (MDK);;Vigente;Sensible;Manual;;;;;;;• hedera helix extracto estandarizado 35 mg/5 mL solución oral;6369279;Laboratorio MDK S.A.;5731375;jarabe;;;7517850;abrielix;4567040;Si;"• N-511/13 - ABRIELIX JARABE 35 mg/5 mL• N-462/13 - ABRIELIX JARABE 35 mg/5 mL";
6636667;abrilar comprimido efervescente (Pharma Investi);;Vigente;Sensible;Manual;;;;;;;• hedera helix extracto estandarizado 65 mg comprimido;5768939;Pharma Investi de Chile S.A.;5723459;comprimido efervescente;;;5878891;abrilar;4567040;Si;• N-267/13 - ABRILAR COMPRIMIDOS EFERVESCENTES 65 mg;
76514;abrilar jarabe (Pharma Investi);;Vigente;Sensible;Manual;;;;;;• 5924226 - ARSENAL;• hedera helix extracto estandarizado 35 mg/5 mL solución oral;5768939;Pharma Investi de Chile S.A.;5731375;jarabe;;;5878891;abrilar;4567040;Si;• N-56/11 - ABRILAR JARABE 35 mg/5 mL;
7376221;ac forte jarabe (Pasteur);;Vigente;Sensible;Manual;;;;;;;• clorfenamina 2 mg/5 mL + codeína 10 mg/5 mL + pseudoefedrina clorhidrato 30 mg/5 mL solución oral;5768935;Laboratorios Pasteur Ltda.;5731375;jarabe;;;7376205;ac forte;4567040;Si;• F-16974/13 - AC FORTE JARABE;
7376259;ac infantil jarabe (Pasteur);;Vigente;Sensible;Manual;;;;;;;• clorfenamina 0,5 mg/5 mL + codeína 10 mg/5 mL + pseudoefedrina clorhidrato 7,5 mg/5 mL solución oral;5790396;Sanofi Pasteur S.A.;5731375;jarabe;;;7376229;ac infantil;4567040;Si;• F-16975/13 - AC JARABE;
5988355;acamol infantil supositorio (Euromed);;Vigente;Sensible;Manual;;;;;;;• paracetamol 125 mg supositorio;6405935;Laboratorios Euromed Chile S.A.;5767432;supositorio;;;7739064;acamol infantil;4567040;Si;• F-15827/11 - ACAMOL INFANTIL SUPOSITORIOS 125 mg;
5988365;acamol solución oral para gotas (Euromed);;Vigente;Sensible;Manual;;;;;;;• paracetamol 100 mg/mL gotas orales;6405935;Laboratorios Euromed Chile S.A.;5766242;solución oral para gotas;;;5678066;acamol;4567040;Si;"• F-3779/10 - ACAMOL SOLUCIÓN ORAL PARA GOTAS PEDIÁTRICAS 10% P/V• F-3779/15 - ACAMOL SOLUCIÓN ORAL PARA GOTAS PEDIÁTRICAS 10% P/V";
6671844;acamol 500 mg comprimido (Euromed);;Vigente;Sensible;Manual;;;;;;;• paracetamol 500 mg comprimido;6405935;Laboratorios Euromed Chile S.A.;5723406;comprimido;;;5678066;acamol;4567040;Si;;
54204;acantex 1 g intramuscular polvo para solución inyectable (Roche);;Vigente;Sensible;Manual;;;;;;• 5924226 - ARSENAL;• ceftriaxona 1000 mg inyectable + lidocaína 1% (10 mg/mL) inyectable;5768947;Productos Roche Ltda.;5733595;polvo para solución inyectable;;;7739498;acantex intramuscular;4567040;Si;• F-5393/15 - ACANTEX POLVO PARA SOLUCIÓN INYECTABLE I.M. 1 g CON SOLVENTE;
54083;acantex 1 g IV polvo para solución inyectable (Roche);;Vigente;Sensible;Manual;;;;;;"• 5924226 - ARSENAL• 7164023 - Dispensadores automático urgencia";• ceftriaxona 1000 mg inyectable;5768947;Productos Roche Ltda.;5733595;polvo para solución inyectable;;;5678070;acantex IV;4567040;Si;• F-5392/15 - ACANTEX POLVO PARA SOLUCIÓN INYECTABLE I.V. 1 g CON SOLVENTE;
5987720;accupril 10 mg comprimido recubierto (Pfizer);;Vigente;Sensible;Manual;;;;;;;• quinapril 10 mg comprimido;5782036;Laboratorio Pfizer de Chile S.A.;5733746;comprimido recubierto;;;5678077;accupril;4567040;Si;"• F-5393/10 - ACANTEX POLVO PARA SOLUCIÓN INYECTABLE I.M. 1 g CON SOLVENTE• F-10921/11 - ACCUPRIL COMPRIMIDOS RECUBIERTOS 10 mg• F-20787/14 - ACCUPRIL COMPRIMIDOS RECUBIERTOS 10 mg• F-10921/16 - ACCUPRIL COMPRIMIDOS RECUBIERTOS 10 mg";
5988177;accupril 20 mg comprimido recubierto (Pfizer);;Vigente;Sensible;Manual;;;;;;;• quinapril 20 mg comprimido;5782036;Laboratorio Pfizer de Chile S.A.;5733746;comprimido recubierto;;;5678077;accupril;4567040;Si;"• F-20788/14 - ACCUPRIL COMPRIMIDOS RECUBIERTOS 20 mg• F-10922/16 - ACCUPRIL COMPRIMIDOS RECUBIERTOS 20 mg";
1879495;accuretic comprimido recubierto (Pfizer);;Vigente;Sensible;Manual;;;;;;;• hidroclorotiazida 12,5 mg + quinapril 20 mg comprimido;5782036;Laboratorio Pfizer de Chile S.A.;5733746;comprimido recubierto;;;5678080;accuretic;4567040;Si;• F-3201/15 - ACCURETIC COMPRIMIDOS RECUBIERTOS;
5988728;acebron 4 mg comprimido (Cardiopharm);;Vigente;Sensible;Manual;;;;;;;• acenocumarol 4 mg comprimido;5891916;Cardiopharm División (Recalcine);5723406;comprimido;;;7149971;acebron;4567040;Si;• F-16094/12 - ACEBRON COMPRIMIDOS 4 mg;
7572295;acemuk granulado para jarabe (Roemmers);;Vigente;Sensible;Manual;;;;;;;• acetilcisteína 2% (20 mg/g) granulado;7572043;Roemmers S.A. Importado (Deutsche Pharma);5762236;granulado para jarabe;;;6566275;acemuk;4567040;Si;• F-18823/16 - ACEMUK POLVO PARA JARABE 100 mg/5 mL;
7456383;acepran FT 0,5 mg comprimido bucodispersable (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 0,5 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723416;comprimido bucodispersable;;;7456370;acepran FT;4567040;Si;• F-20299/13 - ACEPRAN FT COMPRIMIDOS BUCODISPERSABLES 0,5 mg;
7456388;acepran FT 2 mg comprimido bucodispersable (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 2 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723416;comprimido bucodispersable;;;7456370;acepran FT;4567040;Si;• F-20300/13 - ACEPRAN FT COMPRIMIDOS BUCODISPERSABLES 2 mg;
5988774;acepran solución oral para gotas (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 2,5 mg/mL gotas orales;5766512;Laboratorios Andrómaco S.A.;5766242;solución oral para gotas;;;5678082;acepran;4567040;Si;• F-12258/12 - ACEPRAN SOLUCIÓN ORAL PARA GOTAS 2,5 mg/mL;
5987895;acepran 0,5 mg comprimido (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 0,5 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723406;comprimido;;;5678082;acepran;4567040;Si;• F-7396/11 - ACEPRAN COMPRIMIDOS 0,5 mg;
6637352;acepran 0,5 mg comprimido dispersable (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 0,5 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723458;comprimido dispersable;;;5678082;acepran;4567040;Si;• F-16434/12 - ACEPRAN COMPRIMIDOS DISPERSABLES 0,5 mg;
5988139;acepran 1 mg comprimido dispersable (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 1 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723458;comprimido dispersable;;;5678082;acepran;4567040;Si;• F-16436/12 - ACEPRAN COMPRIMIDOS DISPERSABLES 1 mg;
6637295;acepran 2 mg comprimido (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 2 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723406;comprimido;;;5678082;acepran;4567040;Si;• F-7397/11 - ACEPRAN COMPRIMIDOS 2 mg;
5988410;acepran 2 mg comprimido dispersable (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• clonazepam 2 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723458;comprimido dispersable;;;5678082;acepran;4567040;Si;• F-16435/12 - ACEPRAN COMPRIMIDOS DISPERSABLES 2 mg;
5987769;acerdil D comprimido (Cardiopharm);;Vigente;Sensible;Manual;;;;;;;• hidroclorotiazida 12,5 mg + lisinopril 20 mg comprimido;5891916;Cardiopharm División (Recalcine);5723406;comprimido;;;5678087;acerdil D;4567040;Si;• F-10965/16 - ACERDIL - D 20/12,5 COMPRIMIDOS;
375220;acerdil 10 mg comprimido (Cardiopharm);;Vigente;Sensible;Manual;;;;;;• 5924226 - ARSENAL;• lisinopril 10 mg comprimido;5891916;Cardiopharm División (Recalcine);5723406;comprimido;;;5678084;acerdil;4567040;Si;"• F-5654/10 - ACERDIL COMPRIMIDOS 10 mg• F-5654/15 - ACERDIL COMPRIMIDOS 10 mg";
5988117;acerdil 20 mg comprimido (Cardiopharm);;Vigente;Sensible;Manual;;;;;;;• lisinopril 20 mg comprimido;5891916;Cardiopharm División (Recalcine);5723406;comprimido;;;5678084;acerdil;4567040;Si;"• F-5655/10 - ACERDIL COMPRIMIDOS 20 mg• F-5655/15 - ACERDIL COMPRIMIDOS 20 mg";
5988940;acerdil 5 mg comprimido (Cardiopharm);;Vigente;Sensible;Manual;;;;;;;• lisinopril 5 mg comprimido;5891916;Cardiopharm División (Recalcine);5723406;comprimido;;;5678084;acerdil;4567040;Si;"• F-5656/10 - ACERDIL COMPRIMIDOS 5 mg• F-5656/15 - ACERDIL COMPRIMIDOS 5 mg";
5988014;acetato de sodio 30% solución inyectable (Sanderson);;Vigente;Sensible;Manual;;;;;;;• acetato de sodio 30% (300 mg/mL) inyectable;5790384;Laboratorio Sanderson S.A.;5766174;solución inyectable;;;7543527;acetato de sodio;4567040;Si;• F-6134/15 - ACETATO DE SODIO TRIHIDRATO SOLUCIÓN INYECTABLE 30%;
5988128;acetazolamida 250 mg comprimido (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• acetazolamida 250 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723406;comprimido;;;6636266;acetazolamida;4567040;Si;• F-11174/11 - ACETAZOLAMIDA COMPRIMIDOS 250 mg;
519;acetazolamida 250 mg comprimido (Lab Chile);;Vigente;Sensible;Manual;;;;;;• 5924226 - ARSENAL;• acetazolamida 250 mg comprimido;5879043;Laboratorio Chile S.A.;5723406;comprimido;;;6636266;acetazolamida;4567040;Si;• F-983/13 - ACETAZOLAMIDA COMPRIMIDOS 250 mg;
6636273;acetazolamida 250 mg comprimido (Mintlab);;Vigente;Sensible;Manual;;;;;;;• acetazolamida 250 mg comprimido;5781942;Mintlab Co. S.A.;5723406;comprimido;;;6636266;acetazolamida;4567040;Si;• F-4329/15 - ACETAZOLAMIDA COMPRIMIDOS 250 mg;
919134;acevit solución oral para gotas (Recalcine);;Vigente;Sensible;Manual;;;;;;;• ácido ascórbico 75 mg/mL + ergocalciferol 1000 UI/mL + retinol 5000 UI/mL gotas orales;5788012;Laboratorios Recalcine S.A.;5766242;solución oral para gotas;;;7388848;acevit;4567040;Si;• F-5778/15 - ACEVIT SOLUCIÓN PARA GOTAS ORALES;
5776958;aciclovir 200 mg comprimido (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• aciclovir 200 mg comprimido;5766512;Laboratorios Andrómaco S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;• F-11178/11 - ACICLOVIR COMPRIMIDOS 200 mg;
5987740;aciclovir 200 mg comprimido (Chemoparma);;Vigente;Sensible;Manual;;;;;;;• aciclovir 200 mg comprimido;5767942;Laboratorio Chemopharma S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;• F-8702/11 - ACICLOVIR COMPRIMIDOS 200 mg;
54358;aciclovir 200 mg comprimido (Lab Chile);;Vigente;Sensible;Manual;;;;;;• 5924226 - ARSENAL;• aciclovir 200 mg comprimido;5879043;Laboratorio Chile S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;• F-8516/11 - ACICLOVIR COMPRIMIDOS 200 mg;
5988668;aciclovir 200 mg comprimido (Mintlab);;Vigente;Sensible;Manual;;;;;;;• aciclovir 200 mg comprimido;5781942;Mintlab Co. S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;"• F-9863/11 - ACICLOVIR COMPRIMIDOS 200 mg• F-9863/16 - ACICLOVIR COMPRIMIDOS 200 mg";
5988389;aciclovir 200 mg comprimido (OPKO);;Vigente;Sensible;Manual;;;;;;;• aciclovir 200 mg comprimido;5782005;OPKO CHILE S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;• F-17076/13 - ACICLOVIR COMPRIMIDOS 200 mg;
96128;aciclovir 250 mg/10 mL solución inyectable (Pfizer);;Vigente;Sensible;Manual;;;;;;;• aciclovir 250 mg/10 mL (25 mg/mL) inyectable;5782036;Laboratorio Pfizer de Chile S.A.;5766174;solución inyectable;;;5893763;aciclovir;4567040;Si;• F-7323/16 - ACICLOVIR SOLUCIÓN INYECTABLE 250 mg/10 mL;
7107982;aciclovir 3% ungüento oftálmico (Chemopharma);;Vigente;Sensible;Manual;;;;;;;• aciclovir 3% (30 mg/g) ungüento oftálmico;5767942;Laboratorio Chemopharma S.A.;5767626;ungüento oftálmico;;;5893763;aciclovir;4567040;Si;• F-8704/11 - ACICLOVIR UNGÜENTO OFTÁLMICO AL 3%;
335544;aciclovir 3% ungüento oftálmico (Lab Chile);;Vigente;Sensible;Manual;;;;;;;• aciclovir 3% (30 mg/g) ungüento oftálmico;5879043;Laboratorio Chile S.A.;5767626;ungüento oftálmico;;;5893763;aciclovir;4567040;Si;• F-3863/10 - ACICLOVIR UNGÜENTO OFTÁLMICO 3%;
7107974;aciclovir 3% ungüento oftálmico (Sanitas);;Vigente;Sensible;Manual;;;;;;;• aciclovir 3% (30 mg/g) ungüento oftálmico;5790387;Instituto Sanitas S.A.;5767626;ungüento oftálmico;;;5893763;aciclovir;4567040;Si;• F-8844/11 - ACICLOVIR UNGÜENTO OFTÁLMICO 3%;
7094777;aciclovir 400 mg comprimido (Euromed);;Vigente;Sensible;Manual;;;;;;;• aciclovir 400 mg comprimido;6405935;Laboratorios Euromed Chile S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;• F-18277/15 - ACICLOVIR COMPRIMIDOS 400 mg;
6627404;aciclovir 400 mg comprimido (Lab Chile);;Vigente;Sensible;Manual;;;;;;;• aciclovir 400 mg comprimido;5879043;Laboratorio Chile S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;• F-14516/10 - ACICLOVIR COMPRIMIDOS 400 mg;
6663524;aciclovir 400 mg comprimido (Mintlab);;Vigente;Sensible;Manual;;;;;;;• aciclovir 400 mg comprimido;5781942;Mintlab Co. S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;• F-13105/13 - ACICLOVIR COMPRIMIDOS 400 mg;
949187;aciclovir 5% crema dérmica (Chemopharma);;Vigente;Sensible;Manual;;;;;;;• aciclovir 5% (50 mg/g) crema;5767942;Laboratorio Chemopharma S.A.;5756590;crema dérmica;;;5893763;aciclovir;4567040;Si;"• F-8715/11 - ACICLOVIR CREMA DÉRMICA 5%• F-8703/16 - ACICLOVIR CREMA DÉRMICA 5%";
7094659;aciclovir 5% crema tópica (Andrómaco);;Vigente;Sensible;Manual;;;;;;;• aciclovir 5% (50 mg/g) crema;5766512;Laboratorios Andrómaco S.A.;5756602;crema tópica;;;5893763;aciclovir;4567040;Si;• F-11179/11 - ACICLOVIR CREMA DÉRMICA 5%;
7094676;aciclovir 5% crema tópica (Hospifarma);;Vigente;Sensible;Manual;;;;;;;• aciclovir 5% (50 mg/g) crema;6405974;Laboratorio Hospifarma;5756602;crema tópica;;;5893763;aciclovir;4567040;Si;• F-20969/14 - ACICLOVIR CREMA TÓPICA 5%;
7094580;aciclovir 5% crema tópica (Lab Chile);;Vigente;Sensible;Manual;;;;;;;• aciclovir 5% (50 mg/g) crema;5879043;Laboratorio Chile S.A.;5756602;crema tópica;;;5893763;aciclovir;4567040;Si;• F-3865/15 - ACICLOVIR CREMA DÉRMICA 5%;
7094586;aciclovir 5% crema tópica (Mintlab);;Vigente;Sensible;Manual;;;;;;;• aciclovir 5% (50 mg/g) crema;5781942;Mintlab Co. S.A.;5756602;crema tópica;;;5893763;aciclovir;4567040;Si;• F-9864/16 - ACICLOVIR CREMA DÉRMICA 5%;
7094571;aciclovir 5% crema tópica (OPKO);;Vigente;Sensible;Manual;;;;;;;• aciclovir 5% (50 mg/g) crema;5782005;OPKO CHILE S.A.;5756602;crema tópica;;;5893763;aciclovir;4567040;Si;"• F-1832/14 - ACICLOVIR CREMA 5%• F-19274/12 - ACICLOVIR CREMA TÓPICA 5%• F-20822/14 - ACICLOVIR CREMA TÓPICA 5%";
5988357;aciclovir 5% ungüento dérmico (Genfar);;Vigente;Sensible;Manual;;;;;;;• aciclovir 5% (50 mg/g) ungüento;5772376;Genfar S.A. División (Sanofi Aventis);5768760;ungüento dérmico;;;5893763;aciclovir;4567040;Si;• F-12666/12 - ACICLOVIR UNGÜENTO DÉRMICO 5 %;
7396534;aciclovir 500 mg/20 mL solución inyectable (Pfizer);;Vigente;Sensible;Manual;;;;;;;• aciclovir 500 mg/20 mL (25 mg/mL) inyectable;5782036;Laboratorio Pfizer de Chile S.A.;5766174;solución inyectable;;;5893763;aciclovir;4567040;Si;• F-7324/16 - ACICLOVIR SOLUCIÓN INYECTABLE 500 mg/20 mL;
6661582;aciclovir 800 mg comprimido (Lab Chile);;Vigente;Sensible;Manual;;;;;;;• aciclovir 800 mg comprimido;5879043;Laboratorio Chile S.A.;5723406;comprimido;;;5893763;aciclovir;4567040;Si;"• F-7869/11 - VIRONIDA COMPRIMIDOS 800 mg• F-7869/11 - ACICLOVIR COMPRIMIDOS 800 mg";
6907808;ácido acetilsalicílico 100 mg comprimido masticable (MDK);;Vigente;Sensible;Manual;;;;;;;• ácido acetilsalicílico 100 mg comprimido;6369279;Laboratorio MDK S.A.;5723468;comprimido masticable;;;6627429;ácido acetilsalicílico;4567040;Si;"• F-20115/13 - ÁCIDO ACETILSALICÍLICO COMPRIMIDOS MASTICABLES 100 mg• F-20116/13 - ÁCIDO ACETILSALICÍLICO COMPRIMIDOS MASTICABLES 100 mg• F-13177/13 - ÁCIDO ACETILSALICÍLICO COMPRIMIDOS MASTICABLES 100 mg";
6627523;ácido acetilsalicílico 100 mg comprimido masticable (Pasteur);;Vigente;Sensible;Manual;;;;;;;• ácido acetilsalicílico 100 mg comprimido;5768935;Laboratorios Pasteur Ltda.;5723468;comprimido masticable;;;6627429;ácido acetilsalicílico;4567040;Si;"• F-18681/11 - ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg• F-6406/15 - ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS MASTICABLES 100 mg";
5988751;ácido acetilsalicílico 100 mg comprimido (Mintlab);;Vigente;Sensible;Manual;;;;;;;• ácido acetilsalicílico 100 mg comprimido;5781942;Mintlab Co. S.A.;5723406;comprimido;;;6627429;ácido acetilsalicílico;4567040;Si;• F-1444/13 - ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg;
