CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;ESTADO;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;REVISADO;CONSULTAR;SCT_ID;SCT_TERMINO;SINONIMO;GRUPOS_JERARQUICOS;PACK_MULTI_CANTIDAD;PACK_MULTI_UNIDAD_FK;PACK_MULTI_UNIDAD_DESC;MED_CLINICO_CON_ENVASE_FK;MED_CLINICO_CON_ENVASE_DESC;PRODUCTO_COMERCIAL_FK;PRODUCTO_COMERCIAL_DESC;EXISTE_EN_GS1_FK;EXISTE_EN_GS1_DESC;GTIN_GS1
7540063;abetal ODT comprimido dispersable (Drugtech) 6 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7322395;eletriptán 40 mg comprimido 6 comprimidos;7540048;abetal ODT comprimido dispersable (Drugtech);4567041;No;
7199930;abilify 10 mg comprimido (B-MS) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7199916;aripiprazol 10 mg comprimido 30 comprimidos;5988090;abilify 10 mg comprimido (B-MS);4567041;No;
7199934;abilify 15 mg comprimido (B-MS) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7199919;aripiprazol 15 mg comprimido 30 comprimidos;6477154;abilify 15 mg comprimido (B-MS);4567041;No;
7200150;abilify 20 mg comprimido (B-MS) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7200144;aripiprazol 20 mg comprimido 30 comprimidos;7200133;abilify 20 mg comprimido (B-MS);4567041;No;
7199940;abilify 30 mg comprimido (B-MS) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7199924;aripiprazol 30 mg comprimido 30 comprimidos;7199852;abilify 30 mg comprimido (B-MS);4567041;No;
7199927;abilify 5 mg comprimido (B-MS) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7199908;aripiprazol 5 mg comprimido 30 comprimidos;7199733;abilify 5 mg comprimido (B-MS);4567041;No;
7685909;abiolex 1 g comprimido dispersable (Andrómaco) 14 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7316833;amoxicilina 1000 mg comprimido 14 comprimidos;5988933;abiolex 1 g comprimido dispersable (Andrómaco);4567041;No;
7685912;abiolex 1 g comprimido dispersable (Andrómaco) 20 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7316836;amoxicilina 1000 mg comprimido 20 comprimidos;5988933;abiolex 1 g comprimido dispersable (Andrómaco);4567041;No;
7608177;abiostal ODT comprimido dispersable (Drugtech) 10 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7168817;naratriptán 2,5 mg comprimido 10 comprimidos;5987797;abiostal ODT comprimido dispersable (Drugtech);4567041;No;
7229591;abraxane polvo liofilizado para suspensión inyectable (Celgene) 1 vial;;Vigente;Sensible;Autogenerado;;;;;;;;;;7229582;paclitaxel unido a albúmina 100 mg inyectable 1 vial;7229578;abraxane polvo liofilizado para suspensión inyectable (Celgene);4567041;No;
7188281;abretia 10 cápsula (Roemmers) 7 cápsulas;;Vigente;Sensible;Autogenerado;;;;;;;;;;7186945;atomoxetina 10 mg cápsula 7 cápsulas;5988234;abretia 10 cápsula (Roemmers);4567041;No;
7188296;abretia 18 cápsula (Roemmers) 28 cápsulas;;Vigente;Sensible;Autogenerado;;;;;;;;;;7187053;atomoxetina 18 mg cápsula 28 cápsulas;7188208;abretia 18 cápsula (Roemmers);4567041;No;
7188297;abretia 25 cápsula (Roemmers) 28 cápsulas;;Vigente;Sensible;Autogenerado;;;;;;;;;;7187124;atomoxetina 25 mg cápsula 28 cápsulas;7188209;abretia 25 cápsula (Roemmers);4567041;No;
7188303;abretia 40 cápsula (Roemmers) 28 cápsulas;;Vigente;Sensible;Autogenerado;;;;;;;;;;7187147;atomoxetina 40 mg cápsula 28 cápsulas;7188213;abretia 40 cápsula (Roemmers);4567041;No;
7188308;abretia 60 cápsula (Roemmers) 28 cápsulas;;Vigente;Sensible;Autogenerado;;;;;;;;;;7187173;atomoxetina 60 mg cápsula 28 cápsulas;7188262;abretia 60 cápsula (Roemmers);4567041;No;
7517875;abrielix jarabe (MDK) 1 frasco 100 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7117783;hedera helix extracto estandarizado 35 mg/5 mL solución oral 1 frasco 100 mililitros;7517865;abrielix jarabe (MDK);4567041;No;
7406869;abrilar comprimido efervescente (Pharma Investi) 10 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7406863;hedera helix extracto estandarizado 65 mg comprimido 10 comprimidos;6636667;abrilar comprimido efervescente (Pharma Investi);4567041;No;
7117797;abrilar jarabe (Pharma Investi) 1 frasco 100 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7117783;hedera helix extracto estandarizado 35 mg/5 mL solución oral 1 frasco 100 mililitros;76514;abrilar jarabe (Pharma Investi);4567041;No;
7376223;ac forte jarabe (Pasteur) 1 frasco 120 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7259852;clorfenamina 2 mg/5 mL + codeína 10 mg/5 mL + pseudoefedrina clorhidrato 30 mg/5 mL solución oral 1 frasco 120 mililitros;7376221;ac forte jarabe (Pasteur);4567041;No;
7376560;ac infantil jarabe (Pasteur) 1 frasco 120 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7259673;clorfenamina 0,5 mg/5 mL + codeína 10 mg/5 mL + pseudoefedrina clorhidrato 7,5 mg/5 mL solución oral 1 frasco 120 mililitros;7376259;ac infantil jarabe (Pasteur);4567041;No;
7424356;acamol infantil 125 mg supositorio (Euromed) 5 supositorios;;Vigente;Sensible;Autogenerado;;;;;;;;;;7094112;paracetamol 125 mg supositorio 5 supositorios;5988355;acamol infantil supositorio (Euromed);4567041;No;
7008581;acamol solución oral para gotas (Euromed) 1 frasco 15 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7008555;paracetamol 100 mg/mL gotas orales 1 frasco 15 mililitros;5988365;acamol solución oral para gotas (Euromed);4567041;No;
7424352;acamol 500 mg comprimido (Euromed) 1000 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7424350;paracetamol 500 mg comprimido 1000 comprimidos;6671844;acamol 500 mg comprimido (Euromed);4567041;No;
7424345;acamol 500 mg comprimido (Euromed) 16 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7093770;paracetamol 500 mg comprimido 16 comprimidos;6671844;acamol 500 mg comprimido (Euromed);4567041;No;
7068791;acantex 1 g intramuscular polvo para solución inyectable (Roche) 1 kit;;Vigente;Sensible;Autogenerado;;;;;;;;;;7068756;ceftriaxona 1000 mg inyectable + lidocaína 1% (10 mg/mL) inyectable 1 kit;54204;acantex 1 g intramuscular polvo para solución inyectable (Roche);4567041;No;
7068702;acantex 1 g IV polvo para solución inyectable (Roche) 1 vial;;Vigente;Sensible;Autogenerado;;;;;;;;;;7068651;ceftriaxona 1000 mg inyectable 1 vial;54083;acantex 1 g IV polvo para solución inyectable (Roche);4567041;No;
7351996;accupril 10 mg comprimido recubierto (Pfizer) 28 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7351950;quinapril 10 mg comprimido 28 comprimidos;5987720;accupril 10 mg comprimido recubierto (Pfizer);4567041;No;
7351997;accupril 20 mg comprimido recubierto (Pfizer) 28 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7351952;quinapril 20 mg comprimido 28 comprimidos;5988177;accupril 20 mg comprimido recubierto (Pfizer);4567041;No;
7351999;accuretic comprimido recubierto (Pfizer) 14 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7351975;hidroclorotiazida 12,5 mg + quinapril 20 mg comprimido 14 comprimidos;1879495;accuretic comprimido recubierto (Pfizer);4567041;No;
7352000;accuretic comprimido recubierto (Pfizer) 28 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7351977;hidroclorotiazida 12,5 mg + quinapril 20 mg comprimido 28 comprimidos;1879495;accuretic comprimido recubierto (Pfizer);4567041;No;
7150041;acebron 4 mg comprimido (Cardiopharm) 20 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7149843;acenocumarol 4 mg comprimido 20 comprimidos;5988728;acebron 4 mg comprimido (Cardiopharm);4567041;No;
7572375;acemuk granulado para jarabe (Roemmers) 1 frasco 40 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7572367;acetilcisteína 2% (20 mg/g) granulado 1 frasco 40 gramos;7572295;acemuk granulado para jarabe (Roemmers);4567041;No;
7456394;acepran FT 0,5 mg comprimido bucodispersable (Andrómaco) 1000 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7456391;clonazepam 0,5 mg comprimido 1000 comprimidos;7456383;acepran FT 0,5 mg comprimido bucodispersable (Andrómaco);4567041;No;
7456401;acepran FT 2 mg comprimido bucodispersable (Andrómaco) 500 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7456393;clonazepam 2 mg comprimido 500 comprimidos;7456388;acepran FT 2 mg comprimido bucodispersable (Andrómaco);4567041;No;
7455507;acepran solución oral para gotas (Andrómaco) 1 frasco 10 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7455205;clonazepam 2,5 mg/mL gotas orales 1 frasco 10 mililitros;5988774;acepran solución oral para gotas (Andrómaco);4567041;No;
7685920;acepran 0,5 mg comprimido (Andrómaco) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7063851;clonazepam 0,5 mg comprimido 30 comprimidos;5987895;acepran 0,5 mg comprimido (Andrómaco);4567041;No;
7455251;acepran 0,5 mg comprimido dispersable (Andrómaco) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7063851;clonazepam 0,5 mg comprimido 30 comprimidos;6637352;acepran 0,5 mg comprimido dispersable (Andrómaco);4567041;No;
7455258;acepran 1 mg comprimido dispersable (Andrómaco) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7142203;clonazepam 1 mg comprimido 30 comprimidos;5988139;acepran 1 mg comprimido dispersable (Andrómaco);4567041;No;
7685921;acepran 2 mg comprimido (Andrómaco) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7063911;clonazepam 2 mg comprimido 30 comprimidos;6637295;acepran 2 mg comprimido (Andrómaco);4567041;No;
7455266;acepran 2 mg comprimido dispersable (Andrómaco) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7063911;clonazepam 2 mg comprimido 30 comprimidos;5988410;acepran 2 mg comprimido dispersable (Andrómaco);4567041;No;
7350681;acerdil D comprimido (Cardiopharm) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7350628;hidroclorotiazida 12,5 mg + lisinopril 20 mg comprimido 30 comprimidos;5987769;acerdil D comprimido (Cardiopharm);4567041;No;
7350569;acerdil 10 mg comprimido (Cardiopharm) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7350535;lisinopril 10 mg comprimido 30 comprimidos;375220;acerdil 10 mg comprimido (Cardiopharm);4567041;No;
7350570;acerdil 20 mg comprimido (Cardiopharm) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7350536;lisinopril 20 mg comprimido 30 comprimidos;5988117;acerdil 20 mg comprimido (Cardiopharm);4567041;No;
7350567;acerdil 5 mg comprimido (Cardiopharm) 30 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7350533;lisinopril 5 mg comprimido 30 comprimidos;5988940;acerdil 5 mg comprimido (Cardiopharm);4567041;No;
7543547;acetato de sodio 30% solución inyectable (Sanderson) 100 ampollas 10 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7543543;acetato de sodio 30% (300 mg/mL) inyectable 100 ampollas 10 mililitros;5988014;acetato de sodio 30% solución inyectable (Sanderson);4567041;No;
7543551;acetato de sodio 30% solución inyectable (Sanderson) 5 ampollas 10 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7543545;acetato de sodio 30% (300 mg/mL) inyectable 5 ampollas 10 mililitros;5988014;acetato de sodio 30% solución inyectable (Sanderson);4567041;No;
7100649;acetazolamida 250 mg comprimido (Andrómaco) 20 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7097415;acetazolamida 250 mg comprimido 20 comprimidos;5988128;acetazolamida 250 mg comprimido (Andrómaco);4567041;No;
7097452;acetazolamida 250 mg comprimido (Lab Chile) 20 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7097415;acetazolamida 250 mg comprimido 20 comprimidos;519;acetazolamida 250 mg comprimido (Lab Chile);4567041;No;
7097441;acetazolamida 250 mg comprimido (Mintlab) 20 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7097415;acetazolamida 250 mg comprimido 20 comprimidos;6636273;acetazolamida 250 mg comprimido (Mintlab);4567041;No;
7388890;acevit solución oral para gotas (Recalcine) 1 frasco 30 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7388889;ácido ascórbico 75 mg/mL + ergocalciferol 1000 UI/mL + retinol 5000 UI/mL gotas orales 1 frasco 30 mililitros;919134;acevit solución oral para gotas (Recalcine);4567041;No;
7100541;aciclovir 200 mg comprimido (Andrómaco) 24 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7100530;aciclovir 200 mg comprimido 24 comprimidos;5776958;aciclovir 200 mg comprimido (Andrómaco);4567041;No;
7685924;aciclovir 200 mg comprimido (Chemoparma) 24 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7100530;aciclovir 200 mg comprimido 24 comprimidos;5987740;aciclovir 200 mg comprimido (Chemoparma);4567041;No;
7094742;aciclovir 200 mg comprimido (Lab Chile) 25 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7094736;aciclovir 200 mg comprimido 25 comprimidos;54358;aciclovir 200 mg comprimido (Lab Chile);4567041;No;
7094752;aciclovir 200 mg comprimido (Mintlab) 24 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7100530;aciclovir 200 mg comprimido 24 comprimidos;5988668;aciclovir 200 mg comprimido (Mintlab);4567041;No;
7685927;aciclovir 200 mg comprimido (OPKO) 24 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7100530;aciclovir 200 mg comprimido 24 comprimidos;5988389;aciclovir 200 mg comprimido (OPKO);4567041;No;
7396537;aciclovir 250 mg/10 mL solución inyectable (Pfizer) 5 ampollas 10 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7396451;aciclovir 250 mg/10 mL (25 mg/mL) inyectable 5 ampollas 10 mililitros;96128;aciclovir 250 mg/10 mL solución inyectable (Pfizer);4567041;No;
7107994;aciclovir 3% ungüento oftálmico (Chemopharma) 1 frasco 3,5 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7107961;aciclovir 3% (30 mg/g) ungüento oftálmico 1 frasco 3,5 gramos;7107982;aciclovir 3% ungüento oftálmico (Chemopharma);4567041;No;
7108115;aciclovir 3% ungüento oftálmico (Lab Chile) 1 frasco 3,5 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7107961;aciclovir 3% (30 mg/g) ungüento oftálmico 1 frasco 3,5 gramos;335544;aciclovir 3% ungüento oftálmico (Lab Chile);4567041;No;
7108002;aciclovir 3% ungüento oftálmico (Sanitas) 1 frasco 3,5 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7107961;aciclovir 3% (30 mg/g) ungüento oftálmico 1 frasco 3,5 gramos;7107974;aciclovir 3% ungüento oftálmico (Sanitas);4567041;No;
7094796;aciclovir 400 mg comprimido (Euromed) 35 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7094781;aciclovir 400 mg comprimido 35 comprimidos;7094777;aciclovir 400 mg comprimido (Euromed);4567041;No;
7094808;aciclovir 400 mg comprimido (Lab Chile) 35 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7094781;aciclovir 400 mg comprimido 35 comprimidos;6627404;aciclovir 400 mg comprimido (Lab Chile);4567041;No;
7094812;aciclovir 400 mg comprimido (Mintlab) 35 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7094781;aciclovir 400 mg comprimido 35 comprimidos;6663524;aciclovir 400 mg comprimido (Mintlab);4567041;No;
7391859;aciclovir 5% crema dérmica (Chemopharma) 1 pomo 15 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7094544;aciclovir 5% (50 mg/g) crema 1 pomo 15 gramos;949187;aciclovir 5% crema dérmica (Chemopharma);4567041;No;
7391861;aciclovir 5% crema dérmica (Chemopharma) 1 pomo 5 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7101001;aciclovir 5% (50 mg/g) crema 1 pomo 5 gramos;949187;aciclovir 5% crema dérmica (Chemopharma);4567041;No;
7094690;aciclovir 5% crema tópica (Andrómaco) 1 pomo 15 gramos;;Vigente;Sensible;Manual;;;;;;;;;;7094544;aciclovir 5% (50 mg/g) crema 1 pomo 15 gramos;7094659;aciclovir 5% crema tópica (Andrómaco);4567041;No;
7099217;aciclovir 5% crema tópica (Andrómaco) 1 pomo 5 gramos;;Vigente;Sensible;Manual;;;;;;;;;;7101001;aciclovir 5% (50 mg/g) crema 1 pomo 5 gramos;7094659;aciclovir 5% crema tópica (Andrómaco);4567041;No;
7094703;aciclovir 5% crema tópica (Hospifarma) 1 pomo 15 gramos;;Vigente;Sensible;Manual;;;;;;;;;;7094544;aciclovir 5% (50 mg/g) crema 1 pomo 15 gramos;7094676;aciclovir 5% crema tópica (Hospifarma);4567041;No;
7094614;aciclovir 5% crema tópica (Lab Chile) 1 pomo 15 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7094544;aciclovir 5% (50 mg/g) crema 1 pomo 15 gramos;7094580;aciclovir 5% crema tópica (Lab Chile);4567041;No;
7099207;aciclovir 5% crema tópica (Lab Chile) 1 pomo 5 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7101001;aciclovir 5% (50 mg/g) crema 1 pomo 5 gramos;7094580;aciclovir 5% crema tópica (Lab Chile);4567041;No;
7094625;aciclovir 5% crema tópica (Mintlab) 1 pomo 15 gramos;;Vigente;Sensible;Manual;;;;;;;;;;7094544;aciclovir 5% (50 mg/g) crema 1 pomo 15 gramos;7094586;aciclovir 5% crema tópica (Mintlab);4567041;No;
7297635;aciclovir 5% crema tópica (Mintlab) 1 pomo 5 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7101001;aciclovir 5% (50 mg/g) crema 1 pomo 5 gramos;7094586;aciclovir 5% crema tópica (Mintlab);4567041;No;
7094635;aciclovir 5% crema tópica (OPKO) 1 pomo 15 gramos;;Vigente;Sensible;Manual;;;;;;;;;;7094544;aciclovir 5% (50 mg/g) crema 1 pomo 15 gramos;7094571;aciclovir 5% crema tópica (OPKO);4567041;No;
7594637;aciclovir 5% ungüento dérmico (Genfar) 1 pomo 15 gramos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7594636;aciclovir 5% (50 mg/g) ungüento 1 pomo 15 gramos;5988357;aciclovir 5% ungüento dérmico (Genfar);4567041;No;
7396542;aciclovir 500 mg/20 mL solución inyectable (Pfizer) 6 ampollas 20 mililitros;;Vigente;Sensible;Autogenerado;;;;;;;;;;7396453;aciclovir 500 mg/20 mL (25 mg/mL) inyectable 6 ampollas 20 mililitros;7396534;aciclovir 500 mg/20 mL solución inyectable (Pfizer);4567041;No;
7170350;aciclovir 800 mg comprimido (Lab Chile) 35 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7170343;aciclovir 800 mg comprimido 35 comprimidos;6661582;aciclovir 800 mg comprimido (Lab Chile);4567041;No;
6907824;ácido acetilsalicílico 100 mg comprimido masticable (MDK) 10 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6907790;ácido acetilsalicílico 100 mg comprimido 10 comprimidos;6907808;ácido acetilsalicílico 100 mg comprimido masticable (MDK);4567041;No;
6907830;ácido acetilsalicílico 100 mg comprimido masticable (MDK) 300 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6907795;ácido acetilsalicílico 100 mg comprimido 300 comprimidos;6907808;ácido acetilsalicílico 100 mg comprimido masticable (MDK);4567041;No;
6907827;ácido acetilsalicílico 100 mg comprimido masticable (MDK) 40 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6907792;ácido acetilsalicílico 100 mg comprimido 40 comprimidos;6907808;ácido acetilsalicílico 100 mg comprimido masticable (MDK);4567041;No;
7388913;ácido acetilsalicílico 100 mg comprimido masticable (Pasteur) 100 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6907888;ácido acetilsalicílico 100 mg comprimido 100 comprimidos;6627523;ácido acetilsalicílico 100 mg comprimido masticable (Pasteur);4567041;No;
7255990;ácido acetilsalicílico 100 mg comprimido (Mintlab) 100 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6907888;ácido acetilsalicílico 100 mg comprimido 100 comprimidos;5988751;ácido acetilsalicílico 100 mg comprimido (Mintlab);4567041;No;
6907900;ácido acetilsalicílico 100 mg comprimido (Pasteur) 600 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6907888;ácido acetilsalicílico 100 mg comprimido 100 comprimidos;6627523;ácido acetilsalicílico 100 mg comprimido masticable (Pasteur);4567041;No;
6908749;ácido acetilsalicílico 500 mg comprimido (MDK) 10 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6908743;ácido acetilsalicílico 500 mg comprimido 10 comprimidos;6907816;ácido acetilsalicílico 500 mg comprimido (MDK);4567041;No;
6908757;ácido acetilsalicílico 500 mg comprimido (MDK) 200 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6908744;ácido acetilsalicílico 500 mg comprimido 200 comprimidos;6907816;ácido acetilsalicílico 500 mg comprimido (MDK);4567041;No;
6908751;ácido acetilsalicílico 500 mg comprimido (MDK) 40 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6908740;ácido acetilsalicílico 500 mg comprimido 40 comprimidos;6907816;ácido acetilsalicílico 500 mg comprimido (MDK);4567041;No;
7103361;ácido acetilsalicílico 500 mg comprimido (Mintlab) 10 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6908743;ácido acetilsalicílico 500 mg comprimido 10 comprimidos;1839917;ácido acetilsalicílico 500 mg comprimido (Mintlab);4567041;No;
7103368;ácido acetilsalicílico 500 mg comprimido (Mintlab) 100 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;6908741;ácido acetilsalicílico 500 mg comprimido 100 comprimidos;1839917;ácido acetilsalicílico 500 mg comprimido (Mintlab);4567041;No;
7388976;ácido ascórbico 100 mg comprimido (Valma) 100 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7112725;ácido ascórbico 100 mg comprimido 100 comprimidos;6627560;ácido ascórbico 100 mg comprimido (Valma);4567041;No;
6742973;ácido ascórbico 100 mg/mL solución inyectable (Biosano) 100 ampollas 1 mililitro;;Vigente;Sensible;Autogenerado;;;;;;;;5767802;ampolla;6742963;ácido ascórbico 100 mg/mL inyectable 100 ampollas 1 mililitro;5988417;ácido ascórbico 100 mg/mL solución inyectable (Biosano);4567041;No;
7543462;ácido ascórbico 100 mg/mL solución inyectable (Sanderson) 100 ampollas 1 mililitro;;Vigente;Sensible;Autogenerado;;;;;;;;;;6742963;ácido ascórbico 100 mg/mL inyectable 100 ampollas 1 mililitro;5988494;ácido ascórbico 100 mg/mL solución inyectable (Sanderson);4567041;No;
7680451;ácido bórico 250 g polvo (Ñuñoa) 1 sobre;;Vigente;Sensible;Autogenerado;;;;;;;;;;7680443;ácido bórico 250 g polvo 1 sobre;101007;ácido bórico 250 g polvo (Ñuñoa);4567041;No;
7682634;ácido dehidrocólico 250 mg comprimido (Lab Chile) 20 comprimidos;;Vigente;Sensible;Autogenerado;;;;;;;;;;7682630;ácido dehidrocólico 250 mg comprimido 20 comprimidos;6627596;ácido dehidrocólico 250 mg comprimido (Lab Chile);4567041;No;
7097804;ácido fólico 1 mg comprimido (Synthon) 30 comprimidos;;Vigente;Sensible;Manual;;;;;;;;;;7097793;ácido fólico 1 mg comprimido 30 comprimidos;6633318;ácido fólico 1 mg comprimido (Synthon);4567041;No;
